0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0,0,0.25,0
1,0,0,0.143,0,0,0,0,0,0,0.429,0,0,0.286,0,0,0,0,0.071,0,0.071,0,0,0.071
2,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0.875,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0.905,0,0,0,0,0.048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.75,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
7,0,0,0.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0.667,0.167,0,0,0,0,0
8,0,0.444,0.111,0,0,0,0,0,0,0,0,0.111,0,0,0,0,0,0.222,0,0,0,0.111,0
9,0,0,0.167,0.167,0,0,0,0,0,0.167,0,0,0,0,0,0,0,0,0,0.167,0,0,0.167
10,0,0,0.333,0,0,0,0,0,0,0.111,0,0,0.444,0,0,0,0,0,0,0,0,0,0
11,0,0,0.353,0,0,0,0.118,0,0,0,0,0,0,0,0,0,0.059,0.059,0,0.235,0.059,0,0.059
12,0.409,0,0.091,0,0,0.045,0,0.045,0.045,0.091,0,0.045,0,0,0,0,0.045,0.045,0,0.045,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,0,0,0.063,0.063,0,0,0,0,0,0,0.5,0,0,0,0,0,0.063,0.063,0,0.125,0,0.063,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0
17,0.125,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0
18,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0,0.1,0
19,0,0.182,0,0,0,0,0,0,0,0.545,0,0,0,0.273,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
21,0,0,0.286,0,0,0,0,0.143,0,0,0,0,0,0,0,0,0.143,0.143,0,0.286,0,0,0
22,0,0,0,0,0,0,0,0.2,0.4,0,0,0,0,0,0,0,0.2,0,0,0,0,0.2,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0.571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0.143,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
27,0,0,0.333,0,0,0,0,0,0.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0.75,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0
30,0,0,0.045,0.045,0,0,0,0,0.091,0.045,0.045,0,0.182,0,0,0,0,0.136,0,0,0,0.318,0
31,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0.125,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0.125,0.125,0,0.125,0
34,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.6,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
36,0,0,0,0,0,0,0.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0
37,0,0,0,0.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.667,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0.667,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
40,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0.286,0,0,0,0,0,0,0.571,0,0,0,0,0,0,0.286,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833,0,0,0,0
44,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0,0,0
45,0,0,0.118,0,0.118,0,0,0,0,0.176,0.059,0,0,0.059,0,0,0,0.235,0,0,0,0,0
46,0,0,0.067,0,0,0,0.067,0,0.2,0.067,0,0,0.2,0,0,0,0,0.133,0.067,0,0,0.2,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
