
outdoor friends
professional couple
delightful people
young ladies
sick child
business travelers
canine guests
low teens
breakfast crowd
young people
valuable guests

last visit
future visit
next visit
wonderful visit
next trip
entire trip

front entry way
free wifi
free wifi
free breakfast
buffet line
full elevators
nice bar
valet parking
queen room
enough luxury
living pool
room area
parkview room
valet station
gorgeous grounds
wonderful server
perfect walking access
great restaurant 
great restaurant 
perfect access
easy access
courtyard facility
bistro area
wonderful area
great area
converted barn
diamond status
ceiling windows
meeting rooms
conference rooms
family rooms
welcoming rooms
big rooms
large rooms
exhibition space
luxurious space
clearly visible
19th century farm
modern amenities
estate side view
beautiful property
impeccably clean
delightfully comfortable
separate bedroom
quick drive
offered rooms
sitting area
double tree suites
inviting porch
inviting porch
wooden swing
several rooms
comfy rooms
nice rooms
awesome king bed
antique furniture
antiques filled room
great location
bedrooms kids
silehoutte rooms
guest rooms
morning coffee
victorian style rooms
luggage racks

bar business
overall product
rare commodity
sweet goods

decent option
self park option
breakfast selection
desirable option
comprehensive breakfast selection
great choice

canine guests
dog food
beloved dog

usual things
little things
small desert
dear littleness
little balcony
small side
little sunshine
small desk

room service
booked massages
car service
service issues
nicely room massages
excellent service
great customer service
warm welcome
real issue
efficient registration system online
good service
friendly hospitality

housekeeping team
management representative
front desk person
hotel staff
bistro employees
housekeeping 
giving workers
current employees
professional massage therapist
make masseuse
excellent chef
head chef
talented artists
front desk
primary innkeeper
wonderful innkeeper
good innkeeper
wonderful innkeepers
polite staff
incredibly kind
accommodating staff
friendly manner


great relaxation
weekend retreat
personal touch
great night
rustic charm
scenic drive
quaint ambiance
home feeling
night light
ideal spot
great conversations
good thing
good value
great value
great value
memorable staycation
weekend getaway
great stay
european flair
holiday weekend
nice touch
modern touch
antique touches
past weekend 
past weekend 
past weekend 
country atmosphere
relaxing place
annual trip
lively conversation

guest feedback
helpful votes
helpful votes
helpful votes
helpful votes
helpful votes
helpful votes
helpful votes
helpful votes
helpful votes
helpful votes
helpful votes
reviews
reviews
reviews
reviews
reviews
reviews
reviews
reviews
reviews
reviews
reviews
subjective opinions
subjective opinions
subjective opinions
subjective opinions
subjective opinions
subjective opinions
subjective opinions
subjective opinions
subjective opinions
subjective opinions
subjective opinions
used points
honest feedback
couple reviews
business reviews
travel reviews
poor reviews

years eve
future engagements
wedding reception
birthday dinner
birthday plate
family reunion
special birthday
birthday surprise
anniversary wishes
year anniversary
different occasions
nephews wedding
wedding anniversary

really good
comfortable feeling
impeccably clean
general feel
utmost quality
good service
quite inviting
utterly increased
remarkably quiet
really good
upscale feel
low feel
surpassed expectations
delightfully unpretentious
good experience
good experience
good experience
exceptional job
great experience
great experience
simply magnificent
surprisingly comfort

busy times
busy schedules
closing time
last minute

affordable excellent breakfast fare
affordable bed

standard vehicles
oversized vehicles
parking information

course couches
hot water
icemaker
flat screen
luggage racks
sofa bed
rocking chairs
private car
comfy bed
jetted tub
large tub
whirlpool tub
regular tub
full bath
beloved couch
depression era glassware
awesome king bed
inviting porch
wooden swing
whirlpool baths

Unwanted Words
Real star
recent study
* task
kimpton experience
kimpton experience
vast variety
altruistc tasks
finishing everything
playoff games
low-key ways
nice plus
right next
real use
sink traffic
main drawcard
elevator traffic
good size
kitchen sink
future reference
sweet ending
helpful tips
general world
truely historic
fully occupied
dietary request







Small Desert
Birthday Dinner
Birthday Plate
Birthday Desert
Short Ribs
Great Meal
Great Meal
Quick Coffee
Great Breakfast
Excellent Breakfast
Light Meal
Dog Food
Hot Food
Sausage patty
French Toast
Sausage Rounds
Cut fruits
dried fruits
salad
buffet line
Breakfast Selection
Food quality
Smart food
Free Breakfast
Soy Milk
Great Breakfast
Night Snacks
Home made lemon pan cake
lemond curd
divine breakfast
chocolate chip
terrific breakfast
whole grains
cheese omelette
Chip Cookie
Hot waffles
dining food
culinary pairings
egg rolls
fresh fruit
cinnamon rolls
herb casserol
delicious breakfast
great food
scalloped potatoes
breakfast buffet
main courses
great food
lovely buffet
vegetarian diet
morning coffee
evening drinks
special diet
organic ice cream
French Toast




<another cluster>
Particular Establishment
Redisence inns
Nice Inn
Wonderful property
standard residence
cute village
Great Place
Great Place
Lovely Hotel
wonderful place
great restaurant
Nice bar
Kitchen Bar
Great Ships
clean cafe
Local mall
grocery store
main house
subway station
movie theater
entire property
beautiful property
boutique hotel
2 story dwelling
Victorian Style homes
Whole Place
College fraternity house
Interesting Meuseums
nearby bookstore
public areas
bigname hotels
area places
area restaurants



<another cluster>
coffee table
small desk
different table
dining table


<another cluster>
unpleasant experience
health issues
relatively pricey
late arrivals
overly fussy
unpleasant things
moldy bathrooms
horrible breakfast experience
design flaw
weird design
street sounds
little cramped
disappointing experience
really tacky
poor review
really annnoying
little sprucing
smokey smell
noise levels
expensive ones

<another cluster>
walking distances
walking distances
walking distances
walking distances
2 minute walk
minute walk
perfect walking access
short walk
nice walk
remotely close
