Themes/Phrases,strength
conference deliberations,1.0
general comments,1.0
final session,1.0
drafted recommendations,1.0
general discussion,1.0
general agreement,1.0
priority order,1.0
full spectrum,1.0
alcohol problems,1.0
Draft Recommendations,1.0
ultimate task-to,1.0
steering committee,1.0
supporting text,1.0
risky drinking,1.0
alcohol problems,1.0
supporting text,1.0
whole continuum,1.0
alcohol problems,1.0
primary prevention,1.0
alcohol problems,1.0
poly-substance abuse,1.0
medical problems,1.0
social welfare realm,1.5
medical realm,1.0
alcohol use disorders,1.5
research efforts,1.0
full spectrum,1.0
medical problems,1.0
drinking problems,1.0
complex set,1.0
different pieces,1.0
alcohol problems,1.0
problem drinking,1.0
alcohol problems,1.0
alcohol-dependent drinkers,1.0
final document,1.0
alcohol problems,1.0
hazardous drinking,1.0
emergency setting,1.0
alcohol problems,1.0
medical conditions,1.0
severe alcohol problems,1.5
alcohol dependence,1.0
alcohol problems,1.0
full spectrum,1.0
consequence items,1.0
low cut point,1.5
alcohol-related problems,1.0
research recommendations,1.0
emergency care,1.0
Screening instruments,1.0
trauma care setting,1.5
problem drinking,1.0
uniform screening method,1.5
full spectrum,1.0
alcohol misuse,1.0
pre-hospital care setting,1.5
alcohol-related problems,1.0
risky drinking,1.0
alcohol abuse,1.0
screening instruments,1.0
supporting text,1.0
intended consumers,1.0
emergency medicine journal,1.5
influence people,1.0
professional meetings,1.0
screening research,1.0
total research portfolio,1.5
emergency room setting,1.5
screening instrument,1.0
necessarily generalizable,1.0
strong emphasis,1.0
treatment strategy,1.0
Brief Intervention,1.0
brief intervention,1.0
believed research,1.0
screening instruments,1.0
certain sub-populations,1.0
screening research,1.0
full protocol,1.0
individual components,1.0
setting personnel,1.0
vital part,1.0
easy assumption,1.0
Problematic alcohol-use screening instruments,2.0
screening literature,1.0
specialized treatment facility,1.5
whole range,1.0
referral-to primary,1.0
emergency medicine,1.0
initial understanding,1.0
whole system,1.0
alcohol-use interventions,1.0
evaluated-the usefulness,1.0
screening research,1.0
screening instruments,1.0
psychometric properties,1.0
social service,1.0
clinic follow-up,1.0
screening activities,1.0
alcohol problems,1.0
brief advice,1.0
sophisticated techniques,1.0
interventive effect,1.0
wanted research,1.0
research methodologies,1.0
moral imperative,1.0
technical research,1.0
practical research,1.0
separate ones,1.0
evaluating interventions,1.0
much intervention,1.0
low cost,1.0
fruitful topics,1.0
performance characteristics,1.0
public health approach,1.5
practical characteristics,1.0
technical aspects,1.0
performance characteristics,1.0
developmental work,1.0
creative interventions,1.0
clinical settings,1.0
small business innovation research,2.0
available interventions,1.0
pursuing work,1.0
supporting text,1.0
reimbursable service,1.0
multi-center trial,1.0
standard practice,1.0
linking alcohol interventions,1.5
well-described service,1.0
clinical setting,1.0
critical consideration,1.0
key decisions,1.0
hold promise,1.0
federal agencies,1.0
primary care,1.0
effective treatments,1.0
alcohol interventions,1.0
following phrase,1.0
delivery mechanisms,1.0
provider types,1.0
preventive services,1.0
clinical setting,1.0
ironclad case,1.0
primary care settings,1.5
necessary frequency,1.0
research studies,1.0
human subjects,1.0
human subjects aspect,1.5
alcohol problems,1.0
confidentiality issues,1.0
human subjects issues,1.5
information insurers,1.0
professional community,1.0
demonstrating cost-effectiveness,1.0
clinical setting,1.0
confidentiality problems,1.0
professional systems,1.0
ethics circuit,1.0
alcohol screening,1.0
textual commentary,1.0
important issues,1.0
alcohol problems,1.0
cultural attributes,1.0
appropriate place,1.0
high-risk environment,1.0
clinical settings,1.0
cited differences,1.0
trauma centers,1.0
practitioner behavior changes,1.5
clinicians tailor,1.0
medical centers,1.0
clinical practice,1.0
primary care,1.0
suggested wording,1.0
supporting text,1.0
research topics,1.0
organizational issues-from,1.0
evaluating efficacy,1.0
research settings,1.0
cultural attributes,1.0
large impact,1.0
community-level providers,1.0
supporting text,1.0
considering grant applications,1.5
public health systems,1.5
broad range,1.0
treatment services,1.0
complex health care,1.5
examining effectiveness,1.0
policy changes,1.0
training program,1.0
primary care,1.0
delivery system,1.0
practitioner behavior,1.0
practice guidelines,1.0
small things,1.0
training programs,1.0
legal restrictions,1.0
community hospitals,1.0
screening questions,1.0
including community hospitals,1.5
research efforts,1.0
medical personnel,1.0
recent survey,1.0
research proposals,1.0
opinion leaders,1.0
emergency medicine,1.0
broad implementation,1.0
academic EDs,1.0
community settings,1.0
health care system,1.5
total chaos,1.0
trauma care,1.0
academic research,1.0
lag time,1.0
merit mention,1.0
alcohol use outcomes,1.5
care outcomes,1.0
clinical settings,1.0
screening works,1.0
wide implementation,1.0
thought state,1.0
public health agencies,1.5
community groups,1.0
influenced maintenance,1.0
sooner patients,1.0
alcohol problems,1.0
domestic violence,1.0
alcohol problems,1.0
emergency department,1.0
information systems,1.0
treating alcohol problems,1.5
overall picture,1.0
alcohol-dependent patients,1.0
alcohol problems,1.0
organizational changes,1.0
out-patient counseling,1.0
emergency physicians,1.0
communication technology,1.0
policy-relevant research,1.0
unique role,1.0
institutionalizing changes,1.0
alcohol problems,1.0
educational videos,1.0
waiting rooms,1.0
specialized treatment,1.0
supporting text,1.0
important factor,1.0
facilitating screening,1.0
audio tape headsets,1.5
booster intervention,1.0
Funding agencies,1.0
emergency medicine,1.0
alcohol problems,1.0
physician applicants,1.0
good researchers,1.0
post-doctoral program,1.0
treatment research,1.0
training mechanisms,1.0
particularly ones,1.0
emergency medicine,1.0
applied research,1.0
including nurses,1.0
funding agencies,1.0
research supportknown,1.0
application pro-gram,1.0
academic organization,1.0
emergency medicine,1.0
explicit component,1.0
professional societies,1.0
emergency department,1.0
supporting text,1.0
funding opportunities,1.0
specific definition,1.0
funding opportunities,1.0
supporting text,1.0
alcohol problems,1.0
medical care system,1.5
emergency medicine experts,1.5
funding agencies,1.0
major impact,1.0
common events,1.0
strong case,1.0
crucial opportunities,1.0
certain amount,1.0
zero sum game,1.5
social outcomes,1.0
federal agencies,1.0
alcohol problems,1.0
alcohol problems,1.0
grant review process,1.5
careful consideration,1.0
research efforts,1.0
current research activities,1.5
agency staff,1.0
setting aside funds,1.5
ED-based research,1.0
significant health,1.0
alcohol problems,1.0
practice settings,1.0
emergency medicine,1.0
care impact,1.0
randomized trials,1.0
brief interventions,1.0
emergency department,1.0
emergency department,1.0
research priorities,1.0
combining alcohol,1.0
drug research,1.0
alcohol problems,1.0
screening system,1.0
whole research portfolio,1.5
small institution,1.0
research dollars,1.0
growing understanding,1.0
important issue,1.0
drug use,1.0
referral aspect,1.0
medicine departments,1.0
research priorities,1.0
research priorities,1.0
research priorities,1.0
supporting text list ways,2.0
alcohol problems,1.0
public record,1.0
section members,1.0
study section,1.0
alcohol-related injury,1.0
trying look,1.0
oral hypoglycemics,1.0
demand problem,1.0
relevant expert,1.0
cover letter,1.0
conference participants,1.0
alcohol problems,1.0
alcohol section,1.0
grant applications,1.0
Healthy People,1.0
extensive feedback,1.0
medical conditions,1.0
addictive disorders,1.0
increasing effectiveness,1.0
alcohol-related problems,1.0
