Themes/Phrases,strength
decreased reproduction,1.0
wide use,1.0
early period,1.0
exposure periods,1.0
one-to-four days,1.0
acute tests,1.0
exposure periods,1.0
normal propagation,1.0
pure compounds,1.0
locomotor activity,1.0
ventilation rate,1.0
heart rate,1.0
adverse effects,1.0
routine basis,1.0
toxicity tests,1.0
Acute lethality,1.0
observed effect,1.0
test organisms,1.0
relatively short,1.0
pure compounds,1.0
complex effluents,1.0
lethal threshold concentration,1.5
aquatic toxicity tests,1.5
aquatic life,1.0
receiving waters,1.0
enzyme activity,1.0
blood chemistry,1.0
complete life cycles,1.5
subtle effects,1.0
pesticide concentrations,1.0
life cycle,1.0
limited number,1.0
full life cycle,1.5
full life cycle tests,2.0
safe concentration,1.0
steady state conditions,1.5
toxicity test,1.0
laboratory life cycle,1.5
fathead minnows,1.0
fathead minnow,1.0
water quality criteria,1.5
juvenile life stages,1.5
sensitive stages,1.0
partial life,1.0
life stages,1.0
safe concentrations,1.0
remarkably similar,1.0
sensitive life stages,1.5
chronically safe,1.0
sensitive life stages,1.5
warm water fish,1.5
embryogenic periods,1.0
acceptable toxicant concentration,1.5
acutely toxic,1.0
full life cycle,1.5
safe concentrations,1.0
embryogenic periods,1.0
early life stages,1.5
cycle toxicity tests,1.5
establishing water quality criteria,2.0
life-cycle fish toxicity,1.5
life cycle toxicity tests,2.0
great majority,1.0
safe concentrations,1.0
toxicity tests,1.0
Critical life stage exposure,2.0
one-to-fourteen days,1.0
emerging consensus,1.0
test data,1.0
late 1970s,1.0
rapid shift,1.0
aquatic toxicologists,1.0
full life-cycle tests,1.5
full life-cycle,1.0
fry growth,1.0
egg hatchability,1.0
routine application,1.0
net result,1.0
relative sensitivity,1.0
chemical hazard assessments,1.5
sheepshead minnow,1.0
life-stage tests,1.0
organic chemicals,1.0
chronically safe,1.0
fry survival,1.0
significant reduction,1.0
larval growth,1.0
significant measure,1.0
statistically sensitive,1.0
toxic effects,1.0
partial lifecycle,1.0
teratogenicity test,1.0
significant reductions,1.0
fry survival,1.0
growth response,1.0
equally sensitive,1.0
appreciable impact,1.0
estimating MATCs,1.0
screening tests,1.0
teratogenicity tests,1.0
fathead minnow,1.0
using dilution water,1.5
confidence intervals,1.0
toxicity tests,1.0
predictive value,1.0
chronically safe,1.0
life-cycle tests,1.0
larval survival,1.0
growth test,1.0
field demonstrations,1.0
single toxicant,1.0
chronic values,1.0
larval survival,1.0
growth test,1.0
larval growth,1.0
survival test,1.0
municipal effluents,1.0
Observable Effect Concentrations,1.5
identical NOECs,1.0
sheepshead minnow,1.0
salinity range,1.0
larval growth,1.0
day sheepshead,1.0
survival tests,1.0
annual meeting,1.0
survival tests,1.0
equally sensitive,1.0
larval growth,1.0
survival test,1.0
using copper,1.0
larval growth tests,1.5
laboratory comparison,1.0
full life-cycle tests,1.5
single compounds,1.0
inland silverside,1.0
daily renewal,1.0
sensitive endpoint,1.0
inland silverside,1.0
equally sensitive,1.0
day life-cycle tests,1.5
acute toxicity tests,1.5
Daphnia magna,1.0
acute toxicity tests,1.5
acute tests,1.0
industrial effluents,1.0
sexual reproduction test,1.5
single compounds,1.0
toxicity test,1.0
organic chemicals,1.0
including dyes,1.0
fathead minnows,1.0
sea urchin fertilization test,2.0
Menidia menidia,1.0
fertilization test,1.0
fertilization test,1.0
two-week exposure,1.0
two-day exposure,1.0
red macroalga,1.0
Champia parvula,1.0
heavy metals,1.0
industrial effluents,1.0
sexual reproduction,1.0
chronic values,1.0
acute toxicity tests,1.5
short-term toxicity tests,1.5
safe concentrations,1.0
life-cycle test,1.0
especially attractive,1.0
life-cycle chronic,1.0
day mysid,1.0
definitive test,1.0
estimated concentration,1.0
test type,1.0
chronic toxicity,1.0
effluent concentration,1.0
observed effect,1.0
statistically significant,1.0
dose-response information,1.0
receiving water concentration,1.5
single effluent,1.0
effluent concentrations,1.0
permit limit,1.0
test organisms,1.0
sufficient information,1.0
dose-response relationship,1.0
effluent concentrations,1.0
specified percent reduction,1.5
receiving water,1.0
effluent toxicity limit,1.5
acute toxicity,1.0
effluent concentrations,1.0
water toxicity tests,1.5
effluent concentrations,1.0
toxicity test,1.0
receiving water,1.0
chronic toxicity test,1.5
negative result,1.0
temporal variability,1.0
negative test,1.0
regulatory agency,1.0
particular sample,1.0
methods manual,1.0
STATIC TESTS,1.0
chronic toxicity tests,1.5
production schedules,1.0
non-renewal tests,1.0
test organisms,1.0
static non-renewal,1.0
static renewal,1.0
Individual methods,1.0
process changes,1.0
test solution,1.0
prescribed interval,1.0
fresh solution,1.0
test chambers,1.0
Static-renewal tests,1.0
test organisms,1.0
test chamber,1.0
determining compliance,1.0
biological oxygen demand,1.5
chemical oxygen demand,1.5
flow-through tests,1.0
metabolic wastes,1.0
exposure vessels,1.0
Possible loss,1.0
apparent toxicity,1.0
detecting slugs,1.0
STATIC RENEWAL,1.0
toxic wastes,1.0
temporal variations,1.0
ill effects,1.0
metabolic wastes,1.0
test solutions,1.0
test solutions,1.0
deplete energy reserves,1.5
Test organisms,1.0
healthier state,1.0
temporal variations,1.0
laboratory management,1.0
safety officer,1.0
significant risks,1.0
personal safety,1.0
ongoing training program,1.5
laboratory safety,1.0
ongoing commitment,1.0
safety program,1.0
safety plan,1.0
laboratory staff,1.0
conducting toxicity tests,1.5
effluent samples,1.0
skin contact,1.0
safety precautions,1.0
noxious gases,1.0
safety inspections,1.0
laboratory work,1.0
toxicity tests,1.0
necessary safety equipment,1.5
infectious agents,1.0
good condition,1.0
safety equipment,1.0
subsequent shattering,1.0
rubber aprons,1.0
laboratory coats,1.0
clean-up kits,1.0
eye fountains,1.0
hard hats,1.0
safety shoes,1.0
fire blankets,1.0
emergency showers,1.0
chemical spill,1.0
mobile laboratories,1.0
safety equipment,1.0
aid kits,1.0
chemical composition,1.0
toxicity test areas,1.5
performing toxicity tests,1.5
collecting samples,1.0
effluent samples,1.0
potential health,1.0
safety manuals,1.0
Incompatible materials,1.0
Strong acids,1.0
organic solvents,1.0
Electrical equipment,1.0
extension cords,1.0
electrical equipment,1.0
reliable results,1.0
work area,1.0
safety guidelines,1.0
electrical shock,1.0
Good housekeeping,1.0
glassware cleaning,1.0
fume hood,1.0
Underwriter Laboratories,1.0
human wastes,1.0
conducting toxicity tests,1.5
effluent samples,1.0
typhoid fever,1.0
toxicity testing,1.0
Federal rules,1.0
general safety manuals,1.5
handling samples,1.0
SAFETY MANUALS,1.0
appropriate manner,1.0
safe practices,1.0
waste disposal requirements,1.5
potentially hazardous,1.0
performing toxicity testing activities,2.0
Local fire,1.0
Acute Toxicity,1.0
Fifth Edition,1.0
Receiving Waters,1.0
Marine Organisms,1.0
legal liability,1.0
acute toxicity tests,1.5
toxic concentrations,1.0
central laboratory,1.0
nationwide use,1.0
permit toxicity limits,1.5
persistence factors,1.0
Holmesimysis costata,1.0
receiving waters,1.0
toxicity tests,1.0
Holmesimysis costata,1.0
specific compounds,1.0
chronic toxicity,1.0
self-monitoring permit requirements,1.5
compliance evaluation,1.0
appropriate dilution,1.0
receiving water,1.0
biomonitoring inspections,1.0
sampling inspections,1.0
performance audit inspections,1.5
acute toxicity tests,1.5
toxicity reduction plans,1.5
receiving water,1.0
toxicity identification evaluations,1.5
reduction evaluations,1.0
chronic toxicity test methods manuals,2.5
various treatment,1.0
aquatic toxicity tests,1.5
toxicity tests,1.0
marine organisms,1.0
toxic components,1.0
previous editions,1.0
methods manual,1.0
inspection manual,1.0
major modification,1.0
test species,1.0
test conditions,1.0
test procedures,1.0
aquatic toxicity tests,1.5
acceptable test results,1.5
test type,1.0
test organisms,1.0
effluent concentrations,1.0
acute toxicity,1.0
dose-response information,1.0
significantly different,1.0
single effluent,1.0
permit limit,1.0
effluent concentration,1.0
effluent toxicity limit,1.5
acute toxicity,1.0
effluent concentrations,1.0
receiving water,1.0
effluent concentration,1.0
potential temporal variability,1.5
receiving water concentration,1.5
definitive test,1.0
effluent concentrations,1.0
appropriate effluent,1.0
prescribed period,1.0
receiving water,1.0
acute toxicity test,1.5
negative result,1.0
negative test result,1.5
particular sample,1.0
sufficient information,1.0
dose-response relationship,1.0
regulatory agency,1.0
water toxicity tests,1.5
production schedules,1.0
chronic toxicity,1.0
acute toxicity tests,1.5
process changes,1.0
static non-renewal,1.0
test solution,1.0
STATIC TESTS,1.0
non-renewal tests,1.0
test organisms,1.0
Static-renewal tests,1.0
test organisms,1.0
test chambers,1.0
test chamber,1.0
sampling point,1.0
fresh solution,1.0
flow-through method,1.0
continuous sampling,1.0
central laboratory,1.0
test laboratory,1.0
flow-through tests,1.0
composite samples,1.0
dilutor system,1.0
on-site tests,1.0
large volume,1.0
prescribed interval,1.0
