Themes/Phrases,strength
Creating Value,1.0
leading public,1.0
improvement efforts,1.0
finance organizations,1.0
success factors,1.0
effective implementation,1.0
providing case studies,1.5
related legislation,1.0
financial management,1.0
maintaining sound,1.0
financial management practices,1.5
management reform,1.0
executive guide,1.0
federal agencies,1.0
necessary investment,1.0
federal finance organizations,1.5
full benefits,1.0
financial reform,1.0
valueadded activities,1.0
private sector corporations,1.5
independent audit,1.0
seamless systems,1.0
audit opinion,1.0
mission performance,1.0
financial management,1.0
reliable cost,1.0
performance information,1.0
executive guide,1.0
public concern,1.0
government programs,1.0
regular mail,1.0
financial implications,1.0
program decisions,1.0
federal finance organizations,1.5
Leading Organizations,1.0
finance organizations,1.0
agency performance goals,1.5
program cost,1.0
fiduciary responsibilities,1.0
financial data,1.0
always useful,1.0
operating divisions,1.0
federal finance organizations,1.5
reliable enough,1.0
finance organizations,1.0
finance function,1.0
clerical role,1.0
fiduciary issues,1.0
external reporting,1.0
strategic support activities,1.5
cost analysis,1.0
business performance analysis,1.5
finance organization,1.0
major public accounting,1.5
fiduciary issues,1.0
remaining time,1.0
dramatic changes,1.0
management accountants,1.0
administrative costs,1.0
business partner,1.0
leading finance organizations,1.5
financial management literature,1.5
Case study data,1.5
financial management,1.0
private sector experts,1.5
case study,1.0
worldclass finance organization,1.5
overall business performance,1.5
research objectives,1.0
innovative solutions,1.0
business analysis,1.0
business problems,1.0
business outcomes,1.0
case study information,1.5
worldclass finance organization,1.5
reduced operating costs,1.5
increased capability,1.0
success factors,1.0
finance organization,1.0
core values,1.0
finance organization,1.0
practical use,1.0
key characteristics,1.0
illustrative case study examples,2.0
Entitywide Priority,1.0
customerfocused partner,1.0
study work,1.0
overall goals,1.0
following illustration,1.0
federal agencies,1.0
financial management,1.0
leading organizations,1.0
financial management,1.0
important factor,1.0
organizational culture,1.0
financial management,1.0
leading organizations,1.0
organizational culture,1.0
organizational culture,1.0
using training,1.0
cultural changes,1.0
Top management,1.0
entitywide priority,1.0
line management,1.0
basic levelas,1.0
ensuring accountability,1.0
financial managementnot,1.0
strong executive,1.0
performance management,1.0
external reporting,1.0
oversight tool,1.0
Key characteristics,1.0
financial reporting,1.0
audit process,1.0
performance management control objectives,2.0
impacting efficiency,1.0
unqualified audit opinion,1.5
solid foundation,1.0
organizational culture,1.0
reasonable assurance,1.0
financial reporting,1.0
state organizations,1.0
leading organizations,1.0
established policies,1.0
independent audit,1.0
timely access,1.0
specific agency operations,1.5
fiduciary responsibilities,1.0
financial reporting,1.0
reform legislation,1.0
key managers,1.0
dramatic changes,1.0
finance organization,1.0
efficient ways,1.0
finance organizations,1.0
finance organizations,1.0
overall business,1.0
operating unit roles,1.5
internal customer requirements,1.5
federal finance organizations,1.5
support mission objectives,1.5
federal agencies,1.0
Shrinking budgets,1.0
administrative costs,1.0
scarce resources,1.0
requiring managers,1.0
leading finance organizations,1.5
government activities,1.0
resource allocation decisions,1.5
program delivery,1.0
leading finance organizations,1.5
organizing finance,1.0
Current Role,1.0
supporting mission objectives,1.5
meeting mission objectives,1.5
current role,1.0
finance organization,1.0
customer feedback,1.0
Key characteristics,1.0
leading finance organizations,1.5
current role,1.0
strategic support,1.0
transaction processing,1.0
strategic support activities,1.5
5 transaction processing,1.5
daytoday accounting activities,1.5
performance analysis,1.0
cost analysis,1.0
routine accounting activities,1.5
business objectives,1.0
leading organizations,1.0
external reporting,1.0
leading finance,1.0
transaction processing activities,1.5
customer feedback,1.0
performance gaps,1.0
supporting mission objectives,1.5
accounting activities,1.0
Financial Executives,1.0
leading finance organizations,1.5
customer expectations,1.0
worldclass benchmarks,1.0
used feedback,1.0
general indication,1.0
processing payroll,1.0
specific information,1.0
traditional accounting role,1.5
Dramatic changes,1.0
management consulting,1.0
necessary foundation,1.0
comprehensive management reform,1.5
program information,1.0
strategic goals,1.0
meaningful budget,1.0
Practice Analysis,1.0
integrating budget,1.0
federal accounting standards,1.5
achieving program results,1.5
major departments,1.0
financial management systems,1.5
sound cost,1.0
financial statement auditors,1.5
measure performance,1.0
measure results,1.0
financial officer positions,1.5
performance information,1.0
design results,1.0
financial management systems,1.5
financial systems,1.0
federal agencies,1.0
Effective implementation,1.0
financial reform legislation,1.5
private sector organizations,1.5
