Legal Groups,1.0
west-side downtown,1.0
non-profit providers,1.0
joint fund-raising,1.0
joint office project,1.5
staff members,1.0
waiting room,1.0
paying rent times,1.5
shared facility,1.0
protective order,1.0
hardwood floors,1.0
wooden ceilings,1.0
ethnic minorities,1.0
major supporters,1.0
joint fund-raising,1.0
legal services agencies,1.5
Senior Lawyer,1.0
reception area,1.0
legal services,1.0
brownies reception,1.0
stone interior walls,1.5
service law groups,1.5
right time,1.0
Good organization,1.0
right agency,1.0
poor clients,1.0
wealthy landlords,1.0
regular bills,1.0
nonprofit operation,1.0
social conscience,1.0
average debt,1.0
donor list,1.0
office equipment,1.0
helping hand,2.0
health-care workers,1.0
slum landlords,1.0
lawyer jobs,1.0
health care professionals,1.5
Claremont resident,1.0
starting salary,1.0
loan payments,1.0
needed incentives,1.0
graduate school,1.0
Uncommon Good,1.0
young lawyers,1.0
poverty law,1.0
legal aid organizations,1.5
economic impossibility,1.0
wake-up call,2.0
law practice,1.0
a-week stipend,1.0
poor families,1.0
college funds,1.0
soup kitchen,1.0
poverty law,1.0
economic impossibility,1.0
whole system,1.0
legal problem,1.0
health-care professionals,1.0
economic sacrifice,1.0
medical clinic,1.0
rat bite fever,1.5
nonfatal malady,1.0
religious convictions,1.0
whole generation,1.0
public-interest lawyers,1.0
medical field,1.0
slum housing,1.0
awards money,1.0
secular organization,1.0
Security benefits,1.0
medical problems,1.0
staggering debts,1.0
nonprofit organization,1.0
religious organizations,1.0
religious organizations,1.0
religious sponsors,1.0
core values,1.0
middle-class upbringing,1.0
medical school studies,1.5
year-old son,1.0
higher-paying ones,1.0
low salaries,1.0
medical professionals,1.0
head physician,1.0
graduate school,1.0
Christian groups,1.0
recruiting mentors,1.0
major faith traditions,1.5
Fourteen people,1.0
monthly loan payments,1.5
member board,1.0
poor people,1.0
Inland valleys,1.0
legal aid office,1.5
legal aid office,1.5
educational debt,1.0
law school debt,1.5
religious community,1.0
work lawyers,1.0
light years,1.0
debt payments,1.0
free clinic,1.0
legal aid services,1.5
Good recipient,1.0
legal aid,1.0
poverty law,1.0
low-income communities,1.0
private practice,1.0
formidable force,1.0
Legal advice,1.0
hot lines,1.0
phone call,1.0
hot lines,1.0
known perk,1.0
legal questions,1.0
hot line,1.0
local agencies,1.0
private lawyers,1.0
custodial issues,1.0
referral services,1.0
estate planning,1.0
social needs,1.0
adding Web-based,1.0
hot line,1.0
legal counsel,1.0
hot line,1.0
legal counseling,1.0
federal Eldercare Locator,1.5
low-cost help,1.0
self-help materials,1.0
legal aid,1.0
nearby lawyers,1.0
hot lines,1.0
involving grandchildren,1.0
consumer protection,1.0
legal-services network,1.0
age requirement,1.0
Abuse penalties,1.0
outreach projects,1.0
county judges,1.0
usual rate,1.0
Simple wills,1.0
fine someone,1.0
technical violation,1.0
criminal contempt,1.0
maximum fine,1.0
violence cases,1.0
custody order,1.0
legal system,1.0
undue burden,1.0
local requirement,1.0
custody order,1.0
full term,1.0
supervised custody visitation,1.5
legal representation,1.0
minimum fine,1.0
state law,1.0
supervised place,1.0
domestic violence,1.0
domestic violence cases,1.5
major concern,1.0
supervised custody visits,1.5
outside supervision,1.0
Pottsville office,1.0
Marsha Chwastiak,1.0
social services,1.0
troubled families,1.0
domestic violence issues,1.5
mental health problems,1.5
