Themes/Phrases,strength
postal observers,1.0
competitive market,1.0
monopoly profits,1.0
economic rents,1.0
last refuge,1.0
inefficient service,1.0
opaque accounts,1.0
large rents,1.0
post office,1.0
last refuge,1.0
postal service,1.0
universal service,1.0
postal service,1.0
ubiquitous service,1.0
uniform price,1.0
primary means,1.0
residential delivery,1.0
actual address,1.0
postal service,1.0
incumbent posts,1.0
unduly restrictive,1.0
uniform frequency,1.0
universal service provider,1.5
mail boxes,1.0
restrictive definition,1.0
important products,1.0
universal service provider,1.5
bank accounts,1.0
internet service,1.0
delivery costs,1.0
American co-authors,1.0
large differences,1.0
comparing systems,1.0
restrictive definition,1.0
universal service,1.0
unprofitable routes,1.0
different areas,1.0
restrictive definition,1.0
pricing structure,1.0
ubiquitous service,1.0
unit costs,1.0
uniform pricing,1.0
good candidates,1.0
industrial world,1.0
cream-skimming opportunities,1.0
Previous work,1.0
capita volumes,1.0
different posts,1.0
postal systems,1.0
capita volumes,1.0
unit costs,1.0
postal systems,1.0
volume loss,1.0
similar matter,1.0
postal services,1.0
capita volumes,1.0
apparent exception,1.0
direct mail market,1.5
urban areas,1.0
direct mail,1.0
advertising mail,1.0
direct mail,1.0
direct mail,1.0
delivery route profit,1.5
requiring delivery,1.0
cream skimming,1.0
avoided cost measure,1.5
pricing measure,1.0
large volume,1.0
cream skimmers,1.0
route profit margins,1.5
avoided cost measures,1.5
relative profits,1.0
universal service,1.0
principal findings,1.0
graveyard spiral,1.0
volume loss,1.0
16 percent figure,1.5
reasonably close,1.0
requiring delivery,1.0
COMPARATIVE STATISTICS,1.0
institutional cost,1.0
capita volume,1.0
delivery statistics,1.0
average rates,1.0
Parametric analyses,1.0
varying volume,1.0
delivery profits,1.0
burden measure,1.0
volume posts,1.0
capita volume,1.0
real threat,1.0
small volume,1.0
relative differences,1.0
entry price,1.0
services equivalent,1.0
postal administrations,1.0
delivery points,1.0
postal operations,1.0
delivery points,1.0
fourth section,1.0
extensive use,1.0
major differences,1.0
prevailing market exchange rate,2.0
small business addresses,1.5
receiving mail,1.0
labor cost,1.0
Italian statistics,1.0
average market,1.0
disproportionate number,1.0
unexplored route,1.0
Poste Italiane cost,1.5
primary means,1.0
carrier transport,1.0
ubiquitous delivery,1.0
uniform prices,1.0
non-delivered mail,1.0
primary means,1.0
ubiquitous delivery,1.0
low volume,1.0
capita system,1.0
postal administrations,1.0
unit total costs,1.5
specific set,1.0
variable costs,1.0
postal functions,1.0
industrialized world,1.0
omnibus rate proceeding,1.5
fixed costs,1.0
Ceteris paribus,1.0
variable costs,1.0
unit average costs,1.5
capita volume,1.0
parabolic shape,1.0
exact shape,1.0
postal costs,1.0
variable percentages,1.0
postal system,1.0
postal system,1.0
average unit cost,1.5
capita volume,1.0
cost behavior,1.0
model10 Table,1.0
accurate estimates,1.0
total unit cost,1.5
volume ones,1.0
out-of-office costs,1.0
non-delivered mail,1.0
cost estimates,1.0
total volume,1.0
postal administrations,1.0
essentially similar,1.0
great accuracy,1.0
volume administrations,1.0
postal administrations,1.0
postal systems,1.0
labor cost,1.0
route topography,1.0
capita volume increases,1.5
mail processing proportion,1.5
postal administrations,1.0
window services,1.0
delivery costs proportion,1.5
preliminary matter,1.0
variable ratios,1.0
mail-processing costs,1.0
industrialized countries,1.0
postal service,1.0
capita volume,1.0
fixed portion,1.0
non-delivery costs,1.0
delivery proportion,1.0
rate payers,1.0
fixed component,1.0
delivery costs,1.0
industrialized world,1.0
transportation costs,1.0
Institutional Costs,1.0
Functional Percentage,1.0
volume changes,1.0
low volumes,1.0
mail processing,1.0
w ith,1.0
major functions,1.0
odeled Variabilities,1.0
capita volume,1.0
average unit,1.0
low end,1.0
quite sensitive,1.0
increase unit costs,2.1666667
unit costs,1.0
capita volume,1.0
volume loss,1.0
ten-percent reduction,1.0
Institutional Costs,1.0
different variabilities,1.0
ten-percent reduction,1.0
capita volume,1.0
ten-percent reduction,1.0
ten-percent decrease,1.0
capita volume,1.0
volume loss,1.0
capita volume range,1.5
Long-Run Variability,1.0
breakeven status,1.0
remaining volume,1.0
burden measure,1.0
graveyard spiral,1.0
burden measure,1.0
volume posts,1.0
volume ones,1.0
4 shows estimates,1.5
unit costs,1.0
resulting increase,1.0
unit cost,1.0
piece range,1.0
model costs,1.0
model costs,1.0
specific differences,1.0
liberalizing medium,1.0
Long-Run Variability Unit Costs,2.0
capita volume posts,1.5
cream skimmers,1.0
death spiral,1.0
death spiral increases,1.5
model costs,1.0
model costs,1.0
low-cost letters,1.0
medium-cost flats,1.0
fairly close,1.0
major conclusion,1.0
sufficiently accurate,1.0
volume posts,1.0
revenue losses,1.0
important question,1.0
rate increases,1.0
known differences,1.0
hourly labor cost,1.5
high-cost parcels,1.0
adjustment factors,1.0
Italiane unit costs,1.5
universal service,1.0
highly dependent,1.0
capita volumes,1.0
Actual Unit Cost,1.5
large volume recipients,1.5
post office boxes,1.5
postal service,1.0
upstream costs,1.0
upstream costs,1.0
non-delivered mail,1.0
non-delivered mail incurs,1.5
obvious reason,1.0
delivery system,1.0
delivery profits,1.0
total delivery profits,1.5
non-delivered mail accounts,1.5
disproportionate share,1.0
upstream costs,1.0
unprofitable routes,1.0
highly profitable,1.0
analogous identity,1.0
non-delivered mail,1.0
total delivery profits,1.5
delivery route,1.0
postal service,1.0
breakeven post,1.0
non-delivered mail,1.0
upstream costs,1.0
delivery profits,1.0
net delivery profit,1.5
upstream costs,1.0
Non-delivered mail,1.0
fixed delivery costs,1.5
postal service,1.0
delivery profits,1.0
carrier delivery cost,1.5
delivery routes,1.0
firm holdout,1.0
Volume Profits Volume Profits,2.0
breakeven post,1.0
cream skimmer,1.0
skimming possibilities,1.0
large volume recipients,1.5
capita volume post,1.5
non-delivered mail,1.0
Ceteris paribus,1.0
non-delivered mail,1.0
highly profitable,1.0
route profits,1.0
profitable routes,1.0
uniform price,1.0
important reason,1.0
service constraints,1.0
collection system,1.0
non-delivered mail,1.0
delivery frequency,1.0
total cost,1.0
upstream costs,1.0
non-delivered mail,1.0
non-delivered mail,1.0
post office box,1.5
box holders,1.0
uniform pricing constraint,1.5
incremental cost,1.0
large fraction,1.0
payment system,1.0
capita volume post,1.5
industrialized country posts,1.5
non-delivered mail,1.0
single piece,1.0
non-delivered mail,1.0
post office,1.0
volume post,1.0
Ceteris paribus,1.0
piece profit,1.0
good candidates,1.0
cream skimmers,1.0
Fifty-six percent,1.0
non-delivered mail,1.0
non-single piece mail,1.5
frequent delivery,1.0
large areas,1.0
delivery cream skimmer,1.5
system-wide revenue,1.0
margin routes,1.0
breakeven status,1.0
postal administrations,1.0
local niche players,1.5
regional cream,1.0
possible effect,1.0
remaining mail,1.0
postal administration,1.0
cream skimming,1.0
Italian semi-decile,1.0
Italian routes,1.0
Italian routes,1.0
city carriers,1.0
urban areas,1.0
cream skimmers,1.0
profitable routes,1.0
delivery profits,1.0
route costs,1.0
upstream variable,1.0
total delivery cost,1.5
cream skimmers,1.0
suburban areas,1.0
Average Profit margin Percentage,2.0
breakeven conditions,1.0
profitable routes,1.0
relative size,1.0
profit thresholds,1.0
skewness results,1.0
mail volume,1.0
industrialized countries,1.0
skewed income distribution,1.5
route profit,1.0
fairly typical,1.0
undelivered mail,1.0
cream skimmers,1.0
Italian income,1.0
industrialized country,1.0
industrial countries,1.0
unweighted average,1.0
Cumulative Percent,1.0
Cumulative Percent,1.0
cream skimming,1.0
highly correlated,1.0
potential impact,1.0
cream skimmers,1.0
cost impact,1.0
limited amount,1.0
route owing,1.0
cream skimmers,1.0
cream skimmers,1.0
Italian data,1.0
Italian routes,1.0
cream skimmers,1.0
likely profit,1.0
revenue losses,1.0
postal service,1.0
respective posts,1.0
ENTRY PRICING,1.0
entry pricing measure,1.5
postal service,1.0
cream skimmers,1.0
delivery cream skimming,1.5
incumbent post,1.0
average profit margins,1.5
lost profits,1.0
restrictive definition,1.0
likely attack routes,1.5
uniform price,1.0
Ceteris paribus,1.0
entry price measure,1.5
huge scale economies,1.5
actually contestable,1.0
significant volume,1.0
contestable mail,1.0
unprofitable routes,1.0
avoided cost measure,1.5
non-delivered mail,1.0
losing routes,1.0
route profit margin distribution,2.0
breakeven post,1.0
making routes,1.0
efficient entrant,1.0
universal service provider,1.5
limited amount,1.0
non-delivered mail,1.0
fixed cost,1.0
delivery route profit,1.5
assuming adjustments,1.0
rate payers,1.0
unprofitable routes,1.0
price reduction,1.0
entry pricing,1.0
unprofitable routes,1.0
profitable routes,1.0
postal service,1.0
postal service,1.0
profitable routes,1.0
entry pricing cost,1.5
case scenerio,1.0
relative burden,1.0
postal service,1.0
postal service,1.0
total losses,1.0
entire delivery network,1.5
universal service,1.0
cost measure,1.0
cause cream,1.0
competitive entry,1.0
entry pricing measures,1.5
cost structure,1.0
upward impact,1.0
unit costs,1.0
non-delivered mail increases,1.5
route profits,1.0
potential cream skimmers,1.5
average unit,1.0
Long-run variability,1.0
Fixed Cost,1.0
unit cost,1.0
cost data,1.0
variable unit cost,1.5
Significant differences,1.0
actual unit cost,1.5
different shape mix,1.5
variable unit cost,1.5
variable cost,1.0
resulting ratio,1.0
variable cost,1.0
Parametric values,1.0
labor cost differences,1.5
unit cost,1.0
weighted average unit,1.5
variable cost,1.0
variable cost,1.0
variable costs,1.0
institutional costs,1.0
institutional cost,1.0
Current Directions,1.0
Emerging Competition,1.0
Current Directions,1.0
Postal Market,1.0
Competitive Environment,1.0
3rd Königswinter Seminar,1.5
für Kommunikationsdienste,1.0
Academic Publishers,1.0
Academic Publishers,1.0
6th Köenigswinter Seminar,1.5
3rd Königswinter Seminar,1.5
Emerging Competition,1.0
Future Directions,1.0
Postal RateCommission,1.0
major functions,1.0
Emerging Competition,1.0
cost model,1.0
Postal Profits,1.0
Future Directions,1.0
industrial countries,1.0
unit costs,1.0
hyperbolic shape,1.0
unit costs,1.0
window service,1.0
industrial posts,1.0
collecting data,1.0
operational cost data,1.5
capita declines,1.0
Gennaro Scarfiglieri,1.0
industrial countries,1.0
Mailhandling activities,1.0
unit cost differences,1.5
simple model,1.0
similar methods,1.0
cost function,1.0
regression analysis,1.0
cost elements,1.0
previous paper,1.0
cost function,1.0
major functions,1.0
cost elasticities,1.0
previous paper,1.0
labor cost,1.0
actual value,1.0
resulting model estimate,1.5
unit cost,1.0
cost model,1.0
small deviation,1.0
cost model,1.0
sufficient cost data,1.5
industrialized countries,1.0
mail processing,1.0
mail processing costs,1.5
delivery costs,1.0
confirming evidence,1.0
capita volume levels,1.5
actual percentages,1.0
model results,1.0
previous paper,1.0
postal system,1.0
total cost function,1.5
reasonable proxy,1.0
annual cost functions,1.5
institutional costs,1.0
volume variable,1.0
volume drops,1.0
low coverage,1.0
reasonable estimates,1.0
unit costs,1.0
model results,1.0
Attributable costs,1.0
cost treatment,1.0
unit revenues,1.0
unit costs,1.0
generalized cost function,1.5
attributable costs,1.0
cost function,1.0
Service data,1.0
marginal cost,1.0
specific percentages,1.0
total costs,1.0
total costs,1.0
unit costs,1.0
trend line,1.0
data points,1.0
unit costs,1.0
cost model,1.0
primary determinants,1.0
institutional costs,1.0
postal activity,1.0
mail processing,1.0
institutional costs,1.0
institutional costs,1.0
total cost function,1.5
institutional costs,1.0
entire route,1.0
variable costs,1.0
additional cost,1.0
volume variable,1.0
route structure,1.0
delivery costs,1.0
marginal cost,1.0
total cost,1.0
postal service,1.0
total cost,1.0
substituting volume,1.0
total cost function,1.5
average unit,1.0
total cost,1.0
constant unit,1.0
variable costs,1.0
variable cost increases,1.5
cost elasticities decrease,1.5
cost elasticity,1.0
variable cost,1.0
total costs,1.0
capita volumes,1.0
constant coefficient,1.0
office activities,1.0
cost elasticities,1.0
cost function,1.0
total cost,1.0
individual country,1.0
total cost curves,1.5
intra city transportation costs,2.0
accrued costs,1.0
