
 Bigram NP 
postal service 46
zip code 16
universal service 10
city mail 7
sweden post 7
route mail 7
variable cost 5
large volume 5
rural delivery 4
it cost 4
first quartile 4
geographic cream 3
two-day frequency 3
alternative delivery 3
frequent delivery 3
first class 3
low cost 3
residential delivery 3
cream skimmer 3
our analysis 3
other hand 3
monotonic behavior 2
relative efficiency 2
in-office time 2
see cohen 2
expensive quartile 2
it competitor 2
other country 2
efficient classification 2
current competition 2
finland post 2
residential route 2
it destination 2
universal delivery 2
table a2 2
table a1 2
much volume 2
low risk 2
demographic data 2
total volume 2
monopoly protection 2
potential cream 2
potential competitor 2
it monopoly 2
in-office preparing 1
overtime pay 1
available market 1
legal monopoly1 1
stand-alone cost 1
residential service 1
competitive position 1
great number 1
large transaction 1
their cost 1
wide divergence 1
competition authority 1
first-class carrier 1
their profit 1
changing restriction 1
important impact 1
dominant provider 1
percent coverage 1
great extent 1
worker's compensation 1
puerto rico 1
possible delivery 1
addressed grocery 1
fragmented market 1
same degree 1
central business 1
second quartile 1
third attempt 1
socio-economic information 1
single delivery 1
ninety-four percent 1
physical object 1
fixed cost 1
alternative delivery.12 1
such mail 1
it letter 1
only deviation 1
cream skimming 1
addressed advertising 1
address list 1
avoided cost 1
mixed park 1
other operator 1
incremental cost 1
stockholm school 1
foot route 1
planning u.s 1
residential foot 1
significant labor 1
convenient location 1
major business 1
necessary level 1
quantitative investigation 1
web site 1
postal product 1
residential carrier 1
mean route 1
postal monopoly 1
profitable portion 1
maximum impact 1
only country 1
daily profit 1
curbside mail 1
it service 1
residential cream 1
systemwide labor 1
enough capital 1
universal pricing 1
newspaper association 1
single efficiency 1
productive hourly 1
other administration.47 1
deliverya stop 1
negative impact 1
high risk 1
limited effect 1
mixed foot 1
upper bound 1
average incremental 1
civil service 1
right hand 1
entire suburban 1
important sense 1
out-of-office cost24 1
recent study 1
comprehensive discussion 1
additional disadvantage 1
unfunded liability 1
delivered mail 1
typical newspaper 1
issue relevant 1
maximum effect 1
different routes.18 1
out-of-office productivity 1
high cost 1
large portion 1
single piece 1
large proportion 1
valid test 1
same cost 1
private mail 1
average price 1
unrealistic case 1
limited competition 1
three-day window 1
possible delivery.37 1
stand-alone insert 1
publisher express 1
considerable disadvantage 1
new zealand 1
high carrier 1
separate mail 1
several score 1
it productivity 1
sufficient volume 1
postal delivery 1
previous term 1
different rate 1
viable competitor 1
local cream 1
residential apartment 1
total cost 1
physical terrain 1
single subclass 1
h. consequence 1
available carrier 1
small share 1
difficult target 1
alternative supplier 1
introduction postal 1
meredith corp. 1
mixed curb 1
emerging competition 1
denmark sponsored 1
same sample 1
postal administration 1
brief description 1
local delivery 1
125-piece walk 1
their delivery 1
urgent mail 1
time inc. 1
proper postage 1
it price 1
large number 1
few pay 1
new area 1
congested business 1
third dimension 1
household income 1
postal office 1
addressed information 1
federal express 1
different percentage 1
sizable amount 1
section j 1
large sample 1
last set 1
high elasticity 1
postal service's 1
letter-shaped mail 1
competitive environment 1
unaddressed letters.10 1
evolving structure 1
average volume 1
cross section 1
monotonic series 1
small panel 1
called mail 1
required increase 1
preliminary version 1
it monopoly.2 1
virtual monopoly 1
u.s. a 1
profitable quartile.29 1
possible case 1
it competitor.4 1
standard work 1
successful cream 1
custodial maintenance 1
residential park 1
subsequent panel 1
it assessment 1
out-of-office technology 1
top matrix 1
their selection 1
postal provider 1
available volume 1
physical proximity 1
their time 1
indirect labor 1
advertising mail 1
post office 1
residential curb 1
average profit 1
third party 1
high profit 1
many delivery 1
significant advantage 1

 Trigram NP 
kluwer academic publisher 3
piece delivery stop 2
united parcel service 2
general accounting office 2
average incremental cost 2
postal service reform 1
postal rate commission 1
cross sectional comparison 1
high financial impact 1
enhanced carrier route 1
it fixed cost 1
other associated delivery 1
it prestigious sponsorship 1
productive hourly rate 1
competitive postal service 1
carrier cost survey 1
significant in-office delivery 1
other postal administration 1
average delivered volume 1
american express publishing 1
their high profit 1
time mirror co. 1
private letter delivery 1
mean daily route 1
delivery market a 1
certain large volume 1
it unprofitable mail 1
real alternative delivery 1
city carrier survey 1
it dominant market 1
their potential profit 1
professor erik nerep 1
r. r. donnelley 1
only industrial nation 1
low financial impact 1
incumbent postal administration 1
mean daily profit 1
cream skimmer cream 1
roadway package service 1
national postal administration 1
usable residential routes22 1
postal service.49 a 1
universal service obligation 1
productive hourly wage 1
much potential volume 1
it average cost 1
