
 Bigram NP 
postal density 43
la poste 12
universal service 6
inefficient entry 5
michael a 5
high volume 5
multiple address 4
fixed cost 4
low cost 4
new york 4
uniform tariff 3
important cost 3
postal reform 3
french population 3
average unit 3
average cost 3
low volume 3
variable portion 3
current directions 3
spyros xenakis 2
important driver 2
andré grimaud 2
french distribution 2
stratified sample 2
route time 2
see cohen 2
john waller 2
square kilometer 2
per hour 2
low population 2
postal delivery 2
outside work 2
efficient delivery 2
joëlle toledano 2
other hand 2
fixed portion 2
annual volume 2
important role 1
usps index 1
ac usps 1
geographical concentration 1
actual unit 1
business are 1
loading time 1
densities table 1
translog equation 1
efficient entrant 1
jean-pierre florens 1
narrow range 1
line-of-travel requirement 1
different cost/service 1
small relative 1
william ferguson 1
neighborhood delivery 1
french unit 1
sarah marcy 1
mean = 1
average time 1
postal densities 1
exogenous cost 1
per capita 1
introduction virtually 1
interesting phenomena 1
geographic area 1
population density 1
françoise l. 1
standard deviation 1
rural carrier 1
industrialized country 1
cost heterogeneity 1
usps lr-i-1 1
see roy 1
single measure 1
uniform quality 1
summary description 1
small town 1
low quartile 1
e. davis 1
density comparison 1
usps development 1
geographic concentration 1
actual volume 1
different delivery 1
south dakota 1
farmer's driveway 1
postal sector 1
variable load 1
umbrella price 1
entry scenarios 1
endogenous dimension 1
geographical cost 1
technico-economic analysis 1
following way 1
postal market 1
french law 1
variable cost 1
street time 1
profound impact 1
different input 1
jean-jacques laffont 1
sub-areas represent 1
rural population 1
extensive use 1
average distance 1
goes where 1
essential condition 1
roadside line 1
cost behavior 1
bottom quartile 1
her vehicle 1
translog model 1
routes ranked 1
above example 1
front door 1
rural mail 1
simple example 1
precise view 1
detached dwelling 1
rapid change 1
international currency 1
important source 1
loop city 1
competitive entry 1
u.s. table 1
u.s. u.s. 1
address possible 1
out-of-office delivery 1
single address 1
high deviation 1
references berthélémy 1
components report 1
usps data 1
high density 1
inner area 1
matthew robinson 1
its cost 1
french carrier 1
only explanation 1
north dakota 1
questionable accuracy 1
service.23 load 1
french volume 1
current carrier 1
outlying area 1
breakeven post 1
regulatory economics 1
relevant factor 1
inherent cost 1
carla pace 1
bernard roy 1
designated side 1
bottom decile 1
gennaro scarfiglieri 1
u.s. a 1
average slope 1
fixed time 1
u.s. ceteris 1
high cost 1
ceteris paribus 1
their mail 1
uniform price 1
urbanized area 1
its range 1
left side 1
many delivery 1
french average 1
yearly volume 1
other side 1

 Trigram NP 
paul r. kleindorfer 5
kluwer academic publishers 4
french postal density 3
low postal density 3
postal density derived 2
high postal density 2
postal rate commission 2
unit delivery costs 1
some basic comparisons 1
its average cost 1
