
 Bigram NP 
postal service 42
total cost 21
possible stop 12
united kingdom 10
single firm 4
* acm 3
net scale 3
route time 3
* acfirmi 3
same unit 3
load time 3
fixed delivery 3
postal delivery 3
postal service's 3
actual total 3
international comparison 2
representative sample 2
second firm 2
hypothetical duopoly 2
upper bound 2
coverage-related load 2
in-office cost 2
postal monopoly 2
technical appendix 2
direct linear 2
michael a 2
rural delivery 2
wage premium 2
different approach 2
total volume 2
total market 2
top curve 2
detailed street 2
docket no 2
duopoly firm 2
total street 2
scale= scduopoly 2
private sector 2
corresponding coverage 2
variable portion 2
daily delivery 2
total delivery 2
natural monopoly 2
receive mail 2
fixed portion 2
elemental load 2
basic line 2
their mail 2
postal bargaining 1
rural carrier 1
estimated value 1
our methodology 1
acm = 1
further evaluation 1
limited basis 1
negative wage 1
coverage function 1
scale exist 1
rcm = 1
postal customer 1
slight variability 1
hourly compensation 1
james i. 1
technological agnosticism 1
estimated coefficient 1
general case 1
following question 1
r76-1 rate 1
second argument 1
scduopoly = 1
u.s. department 1
delivery services.6 1
significant scale 1
annual leave 1
postal worker 1
automated mail 1
new coverage 1
u.s. a 1
first argument 1
mid-nineteenth century 1
fixed cost 1
scm = 1
dr. wachter 1
same frequency 1
private party 1
economic basis 1
local level 1
scale benefit 1
in-office delivery 1
twentieth century 1
high relative 1
fixed access 1
delivery function 1
variable access 1
coverage model 1
unpublished paper 1
postal administration 1
same route 1
professor wachter 1
substantial cause 1
curbside mail 1
optical character 1
efficiency advantage 1
scale economy 1
legal protection 1
rural carriers12 1
previous section 1
early part 1
slight modification 1
universal delivery 1
national basis 1
ecm = 1
bulk advertising 1
barcoded mail 1
undeliverable-as-addressed mail 1
usps operational 1
huge barrier 1
large proportion 1
exponential function 1
it inception 1
universal service 1
inefficient behavior 1
lower-than-average delivery 1
access time 1
inter-city letter 1
street delivery 1
-b*pps/2 * 1
staff study 1
tremendous growth 1
net value 1
-b*pps * 1
large amount 1
street time 1
premium measure 1
legal monopoly 1
scfirmi = 1
little mechanization 1
average wage 1
tremendous barrier 1
efficient provider 1
random half 1
collective bargaining 1
efficient firm 1
market share 1
small share 1
monopoly increase 1
u.s. table 1
current volume 1
system-wide wage 1
indirect evidence 1
economic argument 1
technical inefficiency 1
same information 1
modern post 1
total city 1
parcel post 1
substantial degree 1
variable nature 1
normal speed 1
same approach 1
bottom curve 1
nonlinear regression 1
detailed discussion 1
foot delivery 1
ppsi = 1
cato institute 1
average manufacturing 1
several rate 1
postal systems1 1
postal data 1
competitive environment 1
other hand 1
* pps 1
königswinter seminar 1
large market 1
preliminary version 1
-b*pps/2 vfirmi 1
john panzar 1
monopoly rent 1
entire country 1
= volume 1
jeff colvin 1
significant factor 1
nondiscriminatory access 1
firm specific 1
acfirmi = 1
national postal 1
it unit 1
same customer 1
* pps/2 1
it monopoly 1
vertical structure 1
direct competition 1
cc fy 1
uniform price 1
regular basis 1
current state 1
it measurement 1
implied coverage 1
covm = 1
united kingdom's 1
covi = 1
private sector.24 1
total factor 1

 Trigram NP 
* acm + 3
scfirmi = rcm 3
* ecm + 3
* acfirmi + 3
paul r. kleindorfer 2
kluwer academic publisher 2
postal rate commission 2
vci / vcu.s 2
it current wage 1
net economic cost 1
our hypothetical duopoly 1
average annual rate 1
exploratory quantitative comparison 1
their private sector 1
delivery frequency table 1
total rural carrier 1
it fixed portion 1
recent empirical research 1
postal service wage 1
barry t. hirsch 1
entire postal system 1
