
 Bigram NP 
full spectrum 4
primary care 4
public health 3
clinical setting 3
second recommendation 2
hazardous drinking 2
important issue 2
brief intervention 2
great deal 2
first recommendation 2
risky drinking 2
medical care 2
high priority 2
daniel pollock 2
such collaboration 1
social welfare 1
it success 1
his use 1
total research 1
screening research 1
patricia perry 1
strong case 1
appropriate place 1
reimbursable service 1
clinic follow-up 1
full protocol 1
referral-to primary 1
critical consideration 1
ronald maio 1
overall picture 1
charles bombardier 1
complex set 1
standard practice 1
pre-hospital care 1
integral part 1
mary dufour 1
richard ries 1
major impact 1
low cut 1
care research 1
thomas babor 1
final document 1
relevant expert 1
further care 1
peter rostenberg 1
referral aspect 1
policy-relevant research 1
well-described service 1
their application 1
jean shope 1
broad implementation 1
guohua li 1
initial understanding 1
professional community 1
pat lenaghan 1
ann mahoney 1
david fiellin 1
main point 1
final session 1
domestic violence 1
robert lowe 1
gordon smith 1
larry gentilello 1
alcohol-related injury 1
whole range 1
same way 1
daniel hungerford 1
academic research 1
text list 1
much intervention 1
linda degutis 1
academic organization 1
large impact 1
textual commentary 1
following phrase 1
parallel activity 1
careful consideration 1
catherine gordon 1
edward bernstein 1
important factor 1
specific definition 1
important way 1
current research 1
interventive effect 1
other funding 1
richard brown 1
christopher dunn 1
developmental work 1
low cost 1
total chaos 1
new research 1
political commitment 1
broad range 1
his support 1
excessive drinking 1
primary prevention 1
technical research 1
vital part 1
explicit component 1
social service 1
janet williams 1
medical realm 1
herman diesenhaus 1
whole continuum 1
wide implementation 1
healthy people 1
new practice 1
necessary frequency 1
evaluated-the usefulness 1
post-doctoral program 1
high-risk environment 1
marilyn sommers 1
richard longabaugh 1
complex health 1
it place 1
much responsibility 1
clinical practice 1
easy assumption 1
whole system 1
their job 1
daily basis 1
stephen hargarten 1
general agreement 1
gail d'onofrio 1
significant health 1
severe alcohol 1
trauma care 1
practitioner behavior 1
large number 1
robert woolard 1
practical research 1
general practice 1
same time 1
audio tape 1
small institution 1
effective screening 1
ed-based research 1
grant application 1
recent survey 1
extensive feedback 1
