
 Bigram NP 
postal service 29
postal reform 4
priority mail 3
hot air 3
postal community 3
low weight 2
personal privacy 2
hard copy 2
legislative reform 2
certified mail 2
current law 2
parcel post 2
special trip 2
transactional mail 2
administrative law 2
our website 2
good morning 2
my government 1
much time 1
mid-cycle adjustment 1
our economy 1
my computer 1
current rate 1
fair information 1
myth number 1
kappel commission 1
bleak picture 1
business-like fashion 1
last mile 1
it impact 1
legislative change 1
it base 1
their cake 1
major rate 1
downward pressure 1
your support 1
public evidentiary 1
statutory revenue 1
atlanta journal-constitution 1
congressional hearing 1
postal landscape 1
my word 1
serious thought 1
usps volume 1
federal privacy 1
brief outline 1
four-year rate 1
phased rate 1
future bill 1
future well-being 1
international mail 1
personal information 1
secret conference 1
mailer-postal community 1
bob wientzen 1
purported desire 1
previous get 1
last year 1
direct marketing 1
direct mail 1
their money 1
postal rate 1
capitol hill 1
presidential commission 1
electronic filing 1
my training 1
expedited treatment 1
my time 1
big chunk 1
• -i 1
great deal 1
other reason 1
independent agency 1
petronius arbiter 1
low cost 1
electronic bill 1
uncontrollable experiment 1
his staff 1
wrong presentation 1
single piece 1
small object 1
va october 1
fast track 1
two-year rate 1
overreaching law 1
congressional action 1
efficient provider 1
my presentation 1
hot issue 1
entire time 1
my thought 1
his bill 1
same position 1
it title 1
his search 1
regulatory commissioner 1
freestanding entity 1
public scrutiny 1
little cooperation 1
my belief 1
glide path 1
-the list 1
broad-based coalition 1
high tech 1
past summer 1
double digit 1
practicable total 1
nationwide change 1
future cost 1
our money 1
admin law 1
your business 1
20-year period 1
pleasant prospect 1
-a rocket 1
holy grail 1
open process 1
additional revenue 1
my way 1
other government 1
10-month limit 1
-a reform 1
nation-wide approach 1
hot topic 1
other transportation 1
-and time 1
privacy act 1
reasonable point 1
-my concern 1
new idea 1
effective cost 1
last provision 1
aspect ratio 1
frequent rate 1
their mail 1
my fault 1
legislative equation 1

 Trigram NP 
postal rate commission 6
post office department 2
postal reorganization act 2
-to postal reform 1
myth number three 1
parcel shipper association 1
their local post 1
overall average rate 1
last omnibus rate 1
it other principle 1
it current complement 1
representative john mchugh 1
postal rate board 1
-the postal community 1
your own point 1
postal rate many 1
total estimated income 1
my uneducated guess 1
postal rate commission… 1
general accounting office 1
cloudy crystal ball 1
her personal information 1

 Unigram NP 
service 16
commission 15
case 12
time 12
congress 10
law 9
delivery 8
way 7
mail 7
community 6
rate 6
information 6
issue 5
number 5
price 5
• 5
man 5
bill 5
confirmation 5
point 4
cost 4
record 4
usps 4
prc 4
percent 4
request 4
volume 3
office 3
ground 3
nsa 3
everyone 3
senate 3
maynard 3
house 3
use 3
postage 3
search 3
carrier 3
couple 3
classification 3
anyone 3
mailer 3
future 3
cap 3
diversion 3
balloonist 3
class 3
task 3
first 3
agency 2
shot 2
sharing 2
board 2
someone 2
report 2
bit 2
provision 2
privacy 2
force 2
idea 2
past 2
result 2
event 2
reform 2
decision 2
increase 2
public 2
impact 2
business 2
story 2
standard 2
web 2
change 2
wait 2
package 2
article 2
engine 2
revenue 2
conference 2
priority 2
area 2
stamp 2
legislation 2
system 2
door 2
envelope 2
part 2
october 2
scenario 2
containment 2
problem 2
piece 2
process 2
recommendation 2
balloon 2
website 2
collection 2
president 2
opportunity 2
cycle 2
individual 2
faster 2
person 2
money 1
livelihood 1
judge 1
manager 1
concept 1
welfare 1
customer 1
member 1
thank 1
field 1
implementation 1
we've 1
h.r.22 1
labor 1
source 1
program 1
policy 1
lord 1
slowest 1
might 1
inefficiency 1
take 1
modicum 1
ream 1
return 1
risk 1
starch 1
read 1
stung 1
stop 1
department 1
traffic 1
world 1
difference 1
day 1
minute 1
loss 1
school 1
ema 1
name 1
spine 1
forth 1
drop 1
list 1
flexibility 1
morning 1
bad 1
differential 1
math 1
january 1
phoenix 1
quarter 1
r97-1 1
view 1
amendment 1
creek 1
kappel-type 1
spring 1
manufacture 1
sight 1
escape 1
news 1
substitute 1
decline 1
and/or 1
monday 1
lead 1
gauntlet 1
launch 1
tantamount 1
state 1
health 1
shakespeare 1
everything 1
r97 1
appeal 1
participation 1
niche 1
handful 1
nature 1
post 1
doubt 1
processing 1
pressure 1
management 1
operating 1
disposition 1
[ 1
approval 1
november 1
cornerstone 1
incline 1
career 1
study 1
overseen 1
chance 1
page 1
-just 1
act 1
action 1
mean 1
whole 1
south 1
permit 1
size 1
clause 1
washington 1
contained…an 1
pop 1
quicker 1
shock 1
consideration 1
table 1
lesson 1
r2000-1 1
'em 1
experimentation 1
guess 1
] 1
support 1
approach 1
panacea 1
certified 1
recommend 1
usps-prc 1
challenge 1
today 1
sort 1
prologue 1
option 1
mind 1
what's 1
sunshine 1
fore 1
santayana 1
gao 1
excuse 1
moment 1
july 1
safeguard 1
effort 1
eat 1
dma 1
admiration 1
word 1
pursuing 1
wholesale 1
straight 1
project 1
limit 1
attention 1
making 1
example 1
prospect 1
intervenor 1
forest 1
scanner 1
cover 1
tax 1
vendor 1
surface 1
fellow 1
heard 1
something 1
want 1
sense 1
phrase 1
education 1
technology 1
check 1
regime 1
again 1
united 1
selfregulation 1
stake 1
access 1
instance 1
heck 1
-and 1
chairman 1
pure 1
-off 1
document 1
establishment 1
mchugh 1
play 1
development 1
picture 1
product 1
may 1
quote 1
advice 1
testimony 1
june 1
yesterday 1
scale 1
third 1
cooker 1
industry 1
lot 1
departure 1
thought 1
troglodyte 1
b.c 1
pleasure 1
eagle 1
equation 1
fact 1

 Arbitary length NP 
edward j. gleiman speech 1
envelope manufacturer association williamsburg 1
next major postal bill 1
it current pre-approved role 1
