
 Bigram NP 
internal control 120
audited entity 75
subject matter 38
other noncompliance 35
financial reporting 28
reasonable assurance 21
professional judgment 18
financial audit 17
their work 16
additional reporting 15
accepted government 15
computerized information 14
illegal act 14
financial statement 13
comptroller general 13
corrective action 12
their report 12
public interest 12
other compliance 12
relevant evidence 11
such information 10
external peer 10
material effect 10
certain information 10
applicable standard 9
their audit 9
additional field 8
experienced reviewer 8
legal counsel 8
financial audits 8
audited program 7
timely manner 7
separate report 7
confidential information 7
american institute 7
final report 6
attestation engagements 6
reasonable basis 6
public accountability 6
their entity 6
general disclosure 6
sufficient information 6
general standard 6
illegal acts 6
public inspection 5
aicpa statements 5
internal quality 5
finding depend 5
evidential matter 5
unauthorized acquisition 5
relevant information 5
reviewed organization 5
possible fraud 5
advisory council 4
proper perspective 4
other information 4
professional skepticism 4
such work 4
related recommendation 4
specific audit 4
private sector 4
financial information 4
additional standard 4
subsequent report 4
their status 4
sufficient evidence 4
previous connection 4
consistent application 4
auditing standards 4
engagement letter 4
common interest 3
particular act 3
public accounting 3
upon request 3
significant finding 3
audit documentation 3
ongoing basis 3
detailed information 3
wide variety 3
following paragraphs 3
principal support 3
further distribution 3
applicable government 3
sound computer 3
possible effect 3
legal oversight 3
sufficient level 3
effective include 3
auditor communication 3
integral part 3
electronic documentation 3
available report 3
other professional 3
external funding 3
objective manner 3
known effect 3
time-critical need 3
particular program 3
provide guidance 3
safe custody 3
testimonial evidence 3
amendment no 3
final determination 3
treadway commission 3
certain fraud 3
applicable law 3
local government 3
financial management 3
sponsoring organizations 3
public safety 3
single audits 3
sufficient understanding 3
timely access 3
expeditious way 3
timely detection 3
broad range 3
potential damage 3
engagement agreement 3
same report 2
above statement 2
significant abuse 2
unsatisfactory performance 2
independent assessment 2
further study 2
previous audits 2
marked version 2
specific environment 2
adequate understanding 2
convincing evidence 2
material noncompliance 2
relevant guidance 2
audited entity's 2
circular a-133 2
public trust 2
their peer 2
d. evidence 2
external quality 2
internal auditors 2
human capital 2
general attestation 2
