
 Bigram NP 
postal service 76
standard a 11
first class 10
unaddressed mail 5
private sector 5
express mail 5
zip codes 5
michael a 4
sustainable monopoly 4
inverse price 4
competitive system 3
joint production 2
such pressure 2
priority mail 2
considerable attention 2
substantial portion 2
competitive pressure 2
economic matter 2
incremental cost 2
first-class mail 2
same rate 2
current system 2
parcel area 2
same dropship 2
universal service 2
low markup 2
zip code 2
postmaster general 2
robert h. 2
delivery economics 2
minor adjustment 2
fraudulent use 2
competitive environment 2
alternative system 2
actual service 2
extra work 2
their mail 2
net revenue 2
postal system 2
everyday reality 1
emery worldwide 1
undoubtedly base 1
higher-cost delivery 1
other country 1
technical efficiency 1
criminal code 1
extreme step 1
incumbent administration 1
net mailing 1
its history 1
single-piece third 1
low-cost processing 1
demanding schedule 1
near-cost price 1
first ounce 1
productive efficiency 1
mechanized processing 1
poor alternative 1
general population 1
unfair competition 1
different form 1
costly equipment 1
low-cost recipient 1
separate in-county 1
free forwarding 1
efficient price 1
service measurement 1
parcel mail 1
third change 1
their ability 1
its service 1
their workforce 1
high service 1
little mail 1
similar replacement 1
unreasonable transportation 1
moderate rate 1
contracting one 1
narrow product 1
much contracting 1
no-strike rule 1
its revenue 1
wide latitude 1
recent automation 1
its destination 1
profit-maximizing firm 1
expensive way 1
single government 1
competitive advantage 1
same postage 1
fundamental distinction 1
make-work scheme 1
numerous cost 1
new labor 1
different way 1
monopoly power 1
political process 1
viable option 1
adam smith 1
postal parlance 1
rural routes.17 1
such knowledge 1
further analysis 1
solicit mail 1
major restructuring 1
serious study 1
additional surcharge 1
low-cost product 1
general access 1
average price 1
your handwriting 1
its sale 1
great deal 1
large proportion 1
future automation 1
blind mail 1
potential competitor 1
many transportation 1
inverse cap 1
on-time delivery 1
fifth section 1
entire organization 1
first class.6 1
breakeven requirement 1
assumed-in effect 1
large portion 1
following example 1
such lowcost 1
further study 1
rate-setting factor 1
reasonable level 1
successful competitor 1
sorting process 1
increased similarity 1
specific customers.9 1
simple change 1
substantial freedom 1
postal worksharing 1
specific post 1
significant improvement 1
central point 1
such rate 1
third bundle 1
effective competition 1
further volume 1
