
 Bigram NP 
new jersey 6
legal services 5
state planning 4
tech center 4
high quality 4
technical assistance 4
last year 3
south carolina 3
program performance 3
national center 3
south dakota 3
north carolina 3
new york 3
legal work 3
low income 3
equal justice 3
lsc board 3
judicial system 2
strategic planning 2
their service 2
content management 2
first year 2
fair housing 2
orange county 2
statewide web 2
great improvement 2
legal research 2
clark county 2
florida legislature 2
their program 2
legal representation 2
uniform set 2
melissa pershing 2
our grantee 2
joyce raby 2
us department 2
federal funding 2
opp main 2
robert gross 2
public perception 2
pro se 2
north dakota 2
national support 2
randi youells 2
web site 2
legal education 2
althea hayward 2
significant progress 2
west virginia 2
entire state 2
directors january 1
two-year effort 1
social welfare 1
task force 1
in-depth understanding 1
statewide delivery 1
aba standards 1
sexy slogan 1
other state 1
key technology 1
washoe county 1
john erlenborn-who 1
gender-based discrimination 1
new statewide 1
meaningful access 1
good example 1
conscientious individuals-are 1
third generation 1
las vegas 1
■ expansive 1
its state 1
referral system 1
slight reduction 1
technical expertise 1
second year 1
ever-changing environment 1
small group 1
rich mix 1
implement statewide 1
unprecedented increase 1
poverty law 1
alabama campaign 1
measurement tool 1
state court 1
consistent program 1
region collaborations 1
additional state 1
new state 1
other support 1
important point 1
leading role 1
supreme court 1
their state 1
■ quality 1
monica holman 1
chuck cook 1
statewide basis 1
central reality 1
planning-related program 1
monica holmen 1
national grant 1
non-lsc program 1
comprehensive list 1
tim watson 1
willie abrams 1
programs date 1
open society 1
lou castro 1
integrated delivery 1
one-year review 1
successful effort 1
regulatory compliance 1
sample letter 1
sophisticated intake 1
their hiring 1
standards-based feedback 1
assure quality 1
national access 1
national technology 1
first report 1
our waiting 1
vice president 1
integrated system 1
useful information 1
cyndy schneider 1
several technology 1
reginald haley 1
its completion 1
new management 1
mississippi lsc 1
indiana access 1
trust fund 1
diverse funding 1
similar center 1
information management 1
our planning 1
first time 1
brutal reminder 1
mergers work 1
on-going support 1
regulatory authority 1
other staff 1
timothy watson 1
efficient state 1
next grant 1
one-year grant 1
step-by-step guide 1
michael genz 1
legal system 1
two-year grant 1
their commitment 1
new mexico 1
pat hanrahan 1
■ stable 1
five-fulltime state 1
common law 1
initial preparation 1
sexual orientation 1
private attorney 1
southern michigan 1
high error 1
single point 1
hard work 1
new information 1
their case 1
their intake 1
simplified work 1
competitive grant 1
illinois center 1
efficient use 1
alternative funding 1
lsc-funded program 1
near future 1
multi-lingual access 1
regular feedback 1
achievements lsc 1
comprehensive review 1
of technology 1
national web 1
comprehensive information 1
next section 1
extensive guide 1
new zealand 1
substantial accuracy 1
our delivery 1
long distance 1
other technology 1
focused state 1
lisa thomas 1
self-help information 1
executive office 1
critical mass 1
gloria wood 1
successful year 1
florida bar 1
meaningless report 1
barb donnelly 1
meaningful planning 1
coordinated manner 1
fundamental review 1
national evaluation 1
appropriate training 1
year's statewide 1
their system 1
justice coordinator 1
justice commission 1
justice conference 1
accurate reporting 1
tennessee alliance 1
successful program 1
legal justice 1
active role 1
web-based self 1
critical initiative 1
our report 1
multiple information 1
jennifer bateman 1
expanded outreach 1
last thirty 1
responsive delivery 1
same concern 1
many staff 1
their delivery 1
grant management 1
inclusive state 1
fulltime program 1
its statewide 1
improved quality 1
urban development 1
john meyer 1
red cross 1
john eidleman 1
project coordinator 1
regular basis 1
accurate information 1
annual state 1
strategic directions 1
broad experience 1
legal assistance 1
glenn rawdon 1
legal service 1
significant field 1
unnecessary duplication 1
special grant 1
our pool 1
three-year grant 1
experienced fundraiser 1
private bar 1
girl scouts 1
