
 Bigram NP 
primary care 11
ideal test 8
clinical practice 7
high sensitivity 5
screening test 5
carbohydrate-deficient transferrin 3
at-risk drinking 3
j trauma 3
high case 3
werner m 3
single question 3
harmful drinking 3
primary health 3
problematic consumption 3
psychiatric press 2
other drug 2
alcohol depend 2
alcohol abuse 2
aasland o 2
acute intoxication 2
davis l 2
sokol r 2
martier s 2
brief intervention 2
clinical staff 2
chronic alcohol 2
adger h 2
shortened version 2
brooker c 2
weissman m 2
miller m 2
leon a 2
kufera ja 2
williams j 2
multiple screening 2
acute alcohol 2
general practice 2
walker l 2
dsm-iv diagnosis 2
peters j 2
mccabe c 2
national institute 2
schellenberg f 1
smith gh 1
clinical care 1
dwarakanath a 1
masked alcohol 1
its success 1
heck e. 1
raymond a 1
further evaluation 1
spring w 1
any ed 1
audit > 1
research staff 1
joffe a 1
hazardous drinking 1
moderate specificity 1
routine screening 1
nicolet j-f 1
successful implementation 1
final aim 1
dsm iii-r 1
conventional versus 1
guilt question 1
low case 1
morse r 1
kreisberg j 1
gentilello l 1
prior health 1
sparadeo f 1
mayfield d 1
ed staff 1
pregnant clinic 1
their blood 1
repke j 1
lowenstein s 1
alcohol problems 1
burke t. 1
brief mast 1
burman ml 1
mean corpuscular 1
kokotailo p 1
christensen k 1
fink a 1
mcleod g 1
unimpaired patient 1
duggan a 1
important subgroup 1
alsafar j 1
chinnis a 1
boyd-wickizer j 1
non-dependent drinkers.36 1
emergency physicians 1
national council 1
general health 1
strain j 1
wartman s. 1
9-item version 1
hall p. 1
new instrument 1
geriatric medicine 1
tanner a 1
white emergency 1
reid a 1
ja w 1
computer-based screening 1
positive test 1
thompson m 1
decrey h 1
clinical impression 1
desirable parameter 1
brief saast 1
international classification 1
devera-sales a 1
low income.17 1
aspartate aminotransferase 1
high specificity 1
economic impact 1
barry k. 1
inadequate training 1
practical test 1
immediate feedback 1
routine sequence 1
naughton b 1
aithal g 1
minugh p 1
bradley ka 1
their cost 1
further research 1
early identification 1
rivara f 1
drunk-driver population 1
minugh a 1
three-sample test 1
greene j 1
moore aa 1
limited alcohol 1
warburg m 1
dawson d 1
ed.7 structured 1
olfson m 1
prenatal population 1
kaplan h. 1
hurt r 1
amundsen a 1
reynaud m 1
alterman a 1
volunteer staff 1
beck jc 1
yee a 1
alternative screening 1
first study 1
screening procedure 1
insufficient education 1
sensitive test 1
u.s. department 1
taj n 1
clinical tool 1
thornes h 1
female college 1
new alcohol 1
clifford p 1
saliva alcohol 1
their performance 1
longabaugh r 1
fulop g 1
vinson dc 1
patient self-report 1
further testing 1
bush b 1
accurate test 1
efficient approach 1
koziol-mclain j 1
willems j 1
cherpitel c 1
espi f 1
reinhardt j 1
perceived value 1
considerable part 1
gamma-glutamyl transferase 1
adequate volume 1
current use 1
melle g 1
burner m 1
dsm-iii-r. washington 1
major trauma 1
heavy drinking 1
broadhead w 1
stand-alone screen 1
medical history 1
jurkovich g 1
brickner p 1
comparative value 1
tzelepis a 1
paris b 1
icd-10 diagnosis 1
hazardous/harmful drinking 1
computerized format 1
selzer m. 1
problematic consumption.7 1
inner-city population 1
