
 Bigram NP 
equal justice 29
private bar 15
new jersey 15
legal education 13
technical assistance 10
domestic violence 10
legal services 10
legal aid 10
legal assistance 10
legal work 10
supreme court 10
new hampshire 9
chief justice 9
high quality 9
state bar 9
bar foundation 9
full range 8
low income 8
task force 7
pine tree 6
single statewide 5
state plan 5
steering committee 5
program letter 5
south carolina 5
long history 5
missouri bar 4
round table 4
attorney general 4
referral system 4
statewide basis 4
joint committee 4
resource development 4
atj board 4
bay legal 4
ultimate goal 4
statewide website 3
local bar 3
effective way 3
bush foundation 3
pro se 3
civil justice 3
west virginia 3
comprehensive state 3
legal foundation 3
legal service 3
justice board 3
judicial system 3
ongoing planning 3
economic development 3
brief service 3
their delivery 3
substantive law 3
initial planning 3
legal advice 3
significant progress 3
justice conference 3
major step 2
low-income community 2
washington state 2
inclusion/diversity/multi-cultural competency 2
their work 2
their plan 2
minimum technology 2
statewide access 2
permanent change 2
statewide core 2
second priority 2
thorough review 2
financial support 2
statewide level 2
critical need 2
statewide technology 2
centralized access 2
coordinating council 2
aspirational goal 2
our state 2
its planning 2
social service 2
minnesota legal 2
bar association 2
their state 2
la basin 2
new state 2
new york 2
single model 2
current configuration 2
virtual statewide 2
trust fund 2
northwest indiana 2
pro bono 2
san diego 2
meaningful access 2
lsc-funded provider 2
total funding 2
justice director 2
strategic planning 2
wide range 2
statewide system 2
significant change 2
administrative office 2
local level 2
last year 2
disadvantaged committee 2
first priority 2
low- income 2
their business 2
statewide intake 2
following year 2
metropolitan chicago 2
strong support 2
justice commission 2
technology coordinator 2
education committee 2
statewide coordination 2
effective delivery 2
atj committee 2
florida bar 2
key justice 2
its state 2
action committees 2
family law 2
their program 2
their planning 2
equal access 2
its delivery 2
its website 2
annual access 2
new england 2
regional delivery 2
statewide brief 2
bay area 2
its report 2
justice foundation 2
its mission 2
circuit court 2
our justice 2
oversight committee 2
maine school 2
lsc board 2
program letters 1
important role 1
county government 1
valuable information 1
comprehensive analysis 1
its progress 1
part-time staff 1
new statewide 1
past twenty 1
joint judicial 1
general counsel 1
regional approach 1
protective order 1
special responsibility 1
orange county 1
upgrading hardware 1
innovative project 1
final merger 1
senior law 1
statewide commission 1
full access 1
new program 1
reassess goals 1
justice committee 1
intangible benefit 1
advisory representative 1
washington fund 1
successful planning 1
front-burner issue 1
cook county 1
intake system 1
multiyear strategy 1
local volunteer 1
new case 1
