
 Bigram NP 
program letter 12
task force 11
lsc board 10
lsc president 8
vice president 7
state planning 6
review process 5
competitive bidding 5
lsc act 4
face-to-face meeting 4
legal assistance 4
new approach 3
their state 3
high quality 3
designated state 3
l. no 3
appropriation act 2
final decision 2
final report 2
our society 2
local bar 2
service area 2
their case 2
additional information 2
new jersey 2
their progress 2
other information 2
efficient delivery 2
effective delivery 2
our government 2
due consideration 2
civil justice 2
practical thereafter 2
equal opportunity 2
federal investment 1
magic number 1
virgin island 1
justice broderick 1
it twin 1
current climate 1
regulatory structure 1
crucial symbiosis 1
cost-effective way 1
puerto rico 1
reasoned judgment 1
federal register 1
cost-effective use 1
annual budget 1
additional state 1
considerable detail 1
cost-effective manner 1
single delivery 1
wide service 1
reconfiguration re 1
broad consensus 1
serious consideration 1
clear review 1
under-represented com 1
reconfiguration decision 1
important way 1
possible time 1
effective client 1
full communication 1
informa- tion 1
new service 1
effective communication 1
appropriate configuration 1
parochial thinking 1
legal review 1
central role 1
equal access 1
considerable progress 1
it service 1
punitive measure 1
overwhelming majority 1
general counsel 1
program letters16 1
bottom-line consideration 1
vast majority 1
our nation 1
effective consideration 1
diverse clientele 1
legal work 1
my service 1
major overhaul 1
legal self-help 1
james head 1
it deadline 1
jonathan ross 1
affected state 1
new accountability 1
ernestine watlington 1
legal affair 1
legal service 1
full opportunity 1
multiple service 1
active partner 1
significant emphasis 1
particular state 1
historical happenstance 1
new symbiosis 1
other field 1
relevant state 1
pert assistance 1
va. broderick 1
statewide program 1
congressional district 1
denied access 1
federal provider 1
new vision 1
specific area 1
strategic direction 1
political redistricting 1
new york 1
congress lsc's 1
new vision15 1
active role 1
corporation a 1
lsc resolution 1
annual investment 1
fy2002 appropriation 1
corporation act 1
our system 1
competitive selection 1
it grant 1
legal aid 1
studied determination 1
their delivery 1
same year 1
conclusion congressional 1
current approach 1
indigent defendant 1
year ii 1
my state 1
effective state 1
ultimate appeal 1
randi youells 1
standing committee 1
equal justice 1
acting director 1
major reform 1
direct impact 1
u.s. house 1
jeanne charn 1
section iv 1
interim report 1
proper exercise 1
one-third reduction 1
appeal lsc 1
fundamental paradigm 1
general rule 1
general outline 1
annual appropriation 1
