
 Bigram NP 
federal government 81
other financing 41
sffas no 37
social insurance 32
net cost 30
present value 28
fair value 24
general fund 24
other retirement 22
stewardship land 19
nonexchange revenue 17
fiscal year 16
social security 16
human capital 15
net position 13
customs service 13
deferred maintenance 13
federal mission 12
full cost 12
same way 12
net inflow 11
direct loan 11
its net 10
financial accounting 10
custodial activity 10
effective interest 9
base year 9
current coverage 9
sffac no 8
useful life 8
stewardship pp 8
special fund 8
effective date 8
appendix b 7
financial condition 7
foreclosed property 7
gross cost 7
financial reporting 7
stewardship information 7
financial position 7
imputed cost 7
governmentwide level 6
virgin islands 6
guaranteed loan 6
its power 6
puerto rico 6
annual investment 6
historical cost 6
budget system 6
related property 6
net cash 6
loan guarantees 6
financial statements 5
predominant source 5
extinguished debt 5
constant dollar 5
major program 5
financial report 5
general property 5
administrative overhead 4
stewardship property 4
logical connection 4
current law 4
qualitative manner 4
narrative discussion 4
forfeited property 4
total cost 4
hospital insurance 4
systematic study 4
budgetary accounting 4
their employer 4
harbor maintenance 4
u.s. government 4
federal accounting 4
current discount 4
associated debt 4
federal reserve 4
medical insurance 4
exchange revenue 4
imputed financing 4
full discussion 4
direct loans. 4
equal value 4
same basis 4
outlay basis 4
new category 4
major use 4
federal gaap 4
local law 4
further discussion 4
such reporting 4
negative subsidy 3
its entirety 3
narrative information 3
nonrecurring inflow 3
special treatment 3
financial statement 3
nominal interest 3
bad debt 3
standardized condition 3
significant state 3
implementation guidance 3
general public 3
national parks 3
comptroller general 3
fas no 3
same classification 3
corporation income 3
omb form 3
supplementary information 3
general welfare 3
current reporting 3
u.s. treasury 3
nonexchange gain 3
long-term cost 3
solid part 3
omb bulletin 3
predominant application 3
physical property 3
outer-continental shelf 3
other cost 3
stewardship reporting 3
exposure draft 3
total program 3
historical data 3
such information 3
annual expenditure 3
equal amount 3
total amount 3
historical expense 3
multi-use heritage 3
government performance 3
double counting 3
managerial cost 3
supplementary stewardship 3
plausible basis 3
normal cost 3
deferred revenue 3
specific guidance 3
integral part 3
railroad employment 3
sovereign power 3
natural significance 3
relevant information 3
exact amount 3
nominal amount 3
hazardous waste 3
its component 3
acceptable condition 3
meaningful category 3
internal use 3
kohler's dictionary 3
aicpa statement 3
medical research 3
similar maturity 3
future cash 3
realizable value 3
medical education 3
other guidance 3
normal rule 3
general pp 3
stated interest 3
critical maintenance 3
transferring entity 3
significant amount 3
third party 3
basic research 3
real property 2
positive subsidy 2
additional reporting 2
identifiable taxpayer 2
phasing-in process 2
responsible manager 2
major renovation 2
covered population 2
opposite sign 2
results act 2
individual stewardship 2
particular date 2
little relationship 2
irreparable damage 2
net amount 2
reconciling budgetary 2
actual cost 2
individual income 2
financial management 2
future benefit 2
major category 2
actual data 2
above hierarchy 2
its existence 2
other information 2
authoritative standard 2
consistent basis 2
actuarial liability 2
appropriate allocation 2
maximum flexibility 2
affect net 2
potential outcome 2
continued categorization 2
due course 2
accrual basis 2
analytical perspective 2
direct reduction 2
their cost 2
revolving fund. 2
actual acquisition 2
concepts statement 2
revolving fund 2
unusual manner 2
negative financing 2
its inception 2
equal increase 2
other agency 2
such knowledge 2
discount rate 2
regulatory agency 2
unpaid amount 2
expected net 2
nominal dollar 2
mortgaged property 2
artistic significance 2
later time 2
additional information 2
standard cost 2
same period 2
estimated amount 2
natural disaster 2
particular reporting 2
defense dictionary 2
part ii 2
external event 2
private sector 2
abandoned merchandise 2
premature obsolescence 2
general rule 2
equal liability 2
separate definition 2
such accounting 2
absolute value 2
associated expenditure 2
continued treatment 2
different interest 2
tax gap 2
nonfederal borrower 2
following page 2
actual receipt 2
financial information 2
average interest 2
intended program 2
reliable outcome 2
appropriate collection 2
high risk 2
other equipment 2
future period 2
its payment 2
stewardship asset 2
specific need 2
intragovernmental revolving 2
joint publication 2
cost -the 2
historic site 2
in-depth review 2
such cost 2
activity-based costing 2
a glossary 2
gross interest 2
budget execution 2
public enterprise 2
invoice price 2
receivable decrease 2
washington monument 2
non-expenditure transfer 2
downward subsidy 2
budgetary integrity 2
multiple reporting 2
third year 2
long-term benefit 2
their entirety 2
accrual accounting 2
monetary value 2
category level 2
following paragraphs 2
long-term direction 2
unique nature 2
future policy 2
other method 2
narrative description 2
national defense 2
advisory board 2
active collection 2
specific identification 2
minimum reporting 2
subsequent paragraphs 2
accumulated depreciation 2
associated cost 2
broad sense 2
related equipment 2
practice no 2
their use 2
stewardship responsibilities 2
capitalized property 2
equal decrease 2
its mission 2
federal entity 2
applicable variance 1
unique access 1
its performance 1
its ability 1
prior reporting 1
available evidence 1
expended appropriations 1
certain education 1
adjacent land 1
mission pp 1
little meaning 1
formal merchandise 1
appropriations made 1
f40 foreign 1
whereas offsetting 1
environment3.74.03.93.74.2 community 1
original fee 1
short term 1
future maintenance 1
alternative use 1
federal program 1
and/or loan 1
s7p68 entity 1
specified event 1
its debt 1
useful resource 1
stabilization programs 1
other party 1
additional increment 1
other pledge 1
amortization -the 1
organizational unit 1
additional investigation 1
and equipment 1
rational allocation 1
combined effect 1
nonexchange transaction 1
subsequent appropriation 1
long-term-benefit nature 1
sop statement 1
separate category 1
principal objective 1
] interest 1
other borrowing 1
personnel management 1
s7p30 classification 1
same definition 1
residual value 1
its nature 1
their environment 1
third edition 1
brief summary 1
limited extent 1
certain time 1
clean water 1
unobligated balances 1
other unit 1
stated value 1
fixed asset 1
executory contract 1
overall compliance 1
federal tax 1
eventual outlay 1
c2p50 including 1
feasible way 1
postretirement benefits 1
