
 Bigram NP 
technical assistance 10
high quality 10
lsc board 8
legal work 7
national center 7
new york 6
program letter 5
our work 5
legal information 4
new jersey 4
world-class delivery 4
orange county 3
basic field 3
cyber café 3
equal justice 3
past year 3
puerto rico 3
south dakota 3
brief service 3
advocate component 3
private bar 3
north dakota 3
strategic direction 3
legal assistance 3
legal education 3
equal opportunity 3
state court 3
new statewide 2
our technology 2
tig conference 2
statewide program 2
on-site program 2
eligible client 2
it capacity 2
substantive poverty 2
previous year 2
civil justice 2
west virginia 2
closed case 2
poverty law 2
lsc staff 2
legal research 2
our country 2
their delivery 2
new configuration 2
civil legal 2
strategic planning 2
private attorney 2
executive leadership 2
competition process 2
statewide funding 2
effective state 2
lsc act 2
information management 2
third report 2
south carolina 2
diverse staff 2
effective delivery 2
lsc-funded program 2
vice president 2
equal access 2
new mexico 2
supreme court 2
justice meeting 2
many program 2
our grant 1
missouri bar 1
effective representation 1
major component 1
experienced consultant 1
public access 1
substantive area 1
their area 1
our message 1
great country 1
tig staff 1
coordinated fundraising 1
their vision 1
section xii 1
new information 1
ongoing contact 1
public support 1
powerful tool 1
brief review 1
national practice 1
effective way 1
grant award 1
their utility 1
underwrote assistance 1
tig visit 1
extended service 1
their work 1
president erlenborn 1
overall planning 1
society institute 1
self-inspection certification 1
new service 1
additional knowledge 1
primary strategy 1
our grantee 1
recent study 1
referral information 1
specialized expertise 1
substantial assistance 1
efficient use 1
combined campaign 1
direct result 1
national committee 1
their growth 1
intake enhancement 1
well-received panel 1
delivery system 1
related tax 1
current process 1
inexperienced staff 1
four-year grant 1
equitable service 1
kick-off retreat 1
substantial information 1
national poverty 1
lsc program 1
first time 1
democratic way 1
national voice 1
randi youells 1
washington state 1
jeanne charn 1
pro se 1
grant application 1
legal community 1
it focus 1
facilitative assistance 1
give advice 1
similar merger 1
our executive 1
statewide technology 1
professional growth 1
their email 1
progress report 1
first function 1
entire state 1
judicature society 1
virgin island 1
aba standard 1
seamless intake 1
intake information 1
internal review 1
