
 Bigram NP 
fiscal year 24
federal government 15
human capital 13
same time 9
it mission 9
strategic plan 9
social security 8
our work 7
comptroller general 6
private sector 6
21st century 6
it decisionmaking 5
long term 5
national security 5
our performance 4
mr. chairman 4
our staff 4
federal workforce 4
frequent flyer 4
effective government 3
improved government 3
financial management 3
information technology 3
our ability 3
federal spending 3
annual report 3
national defense 3
our client 3
it ability 3
important role 2
many government 2
our core 2
new information 2
current staff 2
current process 2
cold war 2
new investment 2
our capacity 2
public health 2
it dedication 2
federal oldage 2
statutory framework 2
foreign policy 2
federal budget 2
it work 2
physical infrastructure 2
survivor insurance 2
provide timely 2
strategic planning 2
other support 2
global interdependence 2
stable funding 2
government performance 2
last decade 2
financial information 2
our nation 2
my testimony 2
u.s. government 2
diverse population 2
international trade 2
it workload 2
technological innovation 2
highrisk area 2
model organization 2
annual planning 2
elk hill 2
it audit 2
our field 2
it place 2
executive branch 2
performancebased management 2
federal agency 2
foreign currency 1
training institute 1
public's quality 1
new hire 1
annual basis 1
important area 1
select amount 1
highspeed passenger 1
effective partnering 1
email message 1
state department 1
projected budget 1
our product 1
it firstever 1
short term 1
statutory authority 1
owned government 1
highrisk list 1
staggering backlog 1
interest all 1
our flexibility 1
different security 1
paperwork workload 1
unauthorized use 1
general accounting 1
improving government 1
overall affordability 1
elmer staats 1
complex role 1
new set 1
longlasting impact 1
major management 1
gao-the legislation 1
efficient government 1
little room 1
substantial disarray 1
public sector 1
early fieldwork 1
comprehensive takeover 1
last resort 1
work-a component 1
professional staff 1
different oversight 1
it role 1
various executive 1
new performance 1
national debt 1
poor nursing 1
equitable treatment 1
technical talent 1
recent audit 1
significant era 1
federal entitlement 1
obsolete hardware 1
unique support 1
personal use 1
responsible stewardship 1
continuous learning 1
total fte 1
required information 1
important work 1
knowledgebased workforce 1
military strategy 1
our population 1
war department 1
safety gao 1
mutual interest 1
global trade 1
technical staff 1
good business 1
our oversight 1
following graphic 1
quality support 1
other information 1
enhanced executive 1
disability trust 1
u rplu 1
oftenstated goal 1
it employ 1
chronic budget 1
fiscal restraint 1
such spending 1
multidisciplinary accountability 1
financial interdependence 1
net worth 1
their effectiveness 1
accounting act 1
st century 1
my term 1
recent denialofservice 1
varied work 1
competitive marketplace 1
clinger-cohen gao 1
additional audit 1
budget issue 1
fundamental weakness 1
statutory preference 1
governmentwide management 1
major reform 1
public demand 1
ther spending 1
income security 1
low rate 1
critical information 1
engagement acceptance 1
our decision 1
accelerating basis 1
agencies' performance 1
senate governmental 1
mixed ownership 1
particular concern 1
large entitlement 1
his tenure 1
foreign investment 1
federal level 1
increased presence 1
continued debt 1
reliable information 1
review meeting 1
economic prosperity 1
chief actuary 1
our responsiveness 1
right way 1
improved performance 1
it insight 1
sound trade 1
american federalism 1
major air 1
modern technology 1
our stewardship 1
considerable attention 1
new law 1
