
 Bigram NP 
toxicant test 16
acute toxicity 14
standard deviation 7
deionized water 6
nutritional suitability 5
toxicant testing 5
usepa method 5
receiving water 5
quality assurance 4
recommended test 4
test organism 4
acute test 4
cfr part 4
total hardness 4
same test 4
additional reference 3
same reference 3
aquatic toxicity 3
regulatory agency 3
good quality 3
total metal 3
expected range 3
static renewal 3
toxicant concentration 3
sample handling 3
intra-laboratory precision 3
total interlaboratory 3
kcl municipal 3
effluent toxicity 3
tap water 3
regulatory authority 3
recent data 3
support document 3
nationwide use 2
acceptable test 2
pacific coast 2
possible loss 2
biological oxygen 2
effluent concentration 2
their use 2
epa method 2
appendix a 2
millipore® milli-q® 2
electrical equipment 2
millipore® qpak™2 2
inter-laboratory precision 2
same source 2
appropriate manner 2
north carolina 2
chronic toxicity 2
specific conductivity 2
sample chain-of-custody 2
80-100 mg/l 2
new batch 2
within-laboratory replication 2
ongoing laboratory 2
same month 2
same data 2
standard dilution 2
high chemical 2
between-laboratory component 2
dilution water 2
reconstituted water 2
taxonomic expert 2
activated carbon 2
safety manual 2
static daily-renewal 2
sheepshead minnow 2
brine shrimp 2
interlaboratory trial 2
central laboratory 2
new group 2
individual effluent 2
excessive mortality 2
class a 2
total organochlorine 2
dry ocean 2
ongoing commitment 2
reference toxicant 2
forty fathoms® 2
new jersey 2
apparent toxicity 2
fume hood 2
laboratory analyst 2
interlaboratory precision 2
environmental protection 2
environmental monitoring 2
analytical balance 1
instrument manufacturer 1
equivalent system 1
individual variability 1
inhouse culture 1
same life 1
particular sample 1
decreased test 1
coastal saline 1
environmental chamber 1
laboratory standard 1
recommended acute 1
from table 1
single effluent 1
dose-response relationship 1
aquatic toxicology 1
continuous sampling 1
concurrent toxicity 1
general precaution 1
alternate test 1
consumable material 1
pedestrian traffic 1
sample preparation 1
such use 1
undiluted receiving 1
internal quality 1
synthetic water 1
millipore qpaktm2 1
prescribed period 1
professional judgment 1
pennsylvania avenue 1
cadmium chloride 1
and safety 1
large-mouth screw-cap 1
portable pump 1
acceptable reference 1
sample storage 1
potassium chloride 1
synthetic saline 1
organic chlorine 1
physical damage 1
low mortality 1
neoprene rubber 1
technical staff 1
similar material 1
wildlife service 1
oxygenated water 1
chemical contamination 1
loading factor 1
excessive evaporation 1
standard salinity 1
principal test 1
acceptable laboratory 1
ordinary test 1
5-10 % 1
strong appeal 1
analytical method 1
dose-response information 1
appendix b 1
operator error 1
same amount 1
sample shipment 1
water enforcement 1
ongoing training 1
same salinity 1
artificial food 1
laboratory staff 1
satisfactory substitute 1
successive test 1
same strain 1
fg cu++ 1
it suitability 1
permanent log 1
alternative source 1
relevant test 1
flow-through rate 1
it use 1
natural seawater 1
suitable trout 1
standard certified 1
cooperative research 1
general requirement 1
routine reference 1
24-96 h 1
potential contamination 1
sixth laboratory 1
grade water 1
taxonomic reference 1
same age 1
nitric acid 1
laboratory ventilation 1
their history 1
food quality 1
appropriate state 1
electronic-chart type 1
undergravel filter 1
percent coefficient 1
good condition 1
first-stage pre-conditioner 1
final effluent 1
sodium thiosulfate 1
cumulative trend 1
0.22-1.32 g 1
static test 1
acute method 1
same type 1
dry yeast 1
remote test 1
side-by-side toxicity 1
national bureau 1
suitable reference 1
representative evaluation 1
npdes program 1
legal liability 1
local grocery 1
good repeatability 1
field-grade instrument 1
other time 1
reagent grade 1
sufficient quantity 1
laboratory culturing 1
life stage 1
minimum acceptability 1
self-monitoring permit 1
individual toxicity 1
logical approach 1
environment canada 1
180-200 mg/l 1
toxicity test 1
immediate investigation 1
j. dryer 1
major modification 1
suitable space 1
special consideration 1
same concentration 1
various treatment 1
analysis division 1
same time 1
other hand 1
desired test 1
commercial supplier 1
real-time basis 1
other pipettor 1
sample dilution 1
larval fish 1
personal communication 1
test acceptability 1
detailed discussion 1
yeast packaged 1
wild caught 1
within-laboratory component 1
1-10 ml 1
dry food 1
appropriate dilution 1
potential acute 1
non-disposable sample 1
m. menidia 1
good housekeeping 1
it identity 1
effective health 1
chemical analysis 1
potential health 1
small-mesh nylon 1
above chemistry 1
pet supply 1
whole effluent 1
organism disposal 1
fresh solution 1
µg/g wet 1
original bench 1
early life 1
equivalent facility 1
additional information 1
interlaboratory variability 1
rwc + 1
other reference 1
rwc = 1
sodium dodecyl 1
electrical shock 1
safety equipment 1
high intensity 1
toxicant sample 1
high quality 1
tidewater silverside 1
statistical method 1
other equipment 1
smooth glass 1
marine organism 1
pesticide-grade acetone 1
fecal material 1
d. magna 1
local fire 1
first aid 1
= percent 1
flow-through method 1
general section 1
synthetic freshwater 1
inter-laboratory test 1
frozen food 1
laboratory-prepared dilution 1
net flow 1
short-term substitute 1
clear pattern 1
effluent alkalinity 1
freshwater organism 1
trimmed spearman-karber 1
small glassware 1
preferred method 1
daily record 1
disease prevention 1
reviewing staff 1
ppt salinity 1
last weight 1
negative test 1
statistical analysis 1
culture water 1
such party 1
sufficient information 1
effluent hardness 1
mobile laboratory 1
side-by-side growth 1
cross contamination 1
required age 1
negative result 1
nominal toxicant 1
natural occurring 1
concentrated acid 1
powdered leaf 1
synthetic seawater 1
artificial seawater 1
inadvertent introduction 1
previous exposure 1
future release 1
polyvinyl chloride 1
small volume 1
minimal testing 1
total number 1
effluent test 1
exhaust canopy 1
chemical composition 1
laboratory evaluation 1
complete file 1
standard error 1
long series 1
good laboratory 1
graphical method 1
entire group 1
steve ward 1
control chart 1
laboratory sample 1
class s 1
same dilution 1
instrument calibration 1
0.05-0.26 g 1
general guidance 1
routine physical 1
important factor 1
preconditioned water 1
further guidance 1
their source 1
nw washington 1
large volume 1
high grade 1
hypersaline brine 1
static non-renewal 1
organisms fail 1
waste disposal 1
single laboratory 1
dissolved oxygen 1
general use 1
excess food 1
national study 1
relative standard 1
frozen brine 1
warm water 1
equivalent water 1
cuso4 industrial 1
mixed-bed water 1
in-house culture 1
bodily injury 1
common use 1
adequate do 1
alternative acute 1
same laboratory 1
