
 Bigram NP 
affected unit 79
such unit 53
sulfur dioxide 35
such year 28
total amount 24
phase ii 22
electric utility 18
table b1 15
appendix b 15
emissions scorecard 15
such facility 14
annual sulfur 14
commercial operation 12
other provision 12
qualified energy 9
particulate matter 9
quality standard 9
eligible phase 9
coal-derived fuel 9
national ambient 8
judicial review 8
nameplate capacity 8
designated representative 8
first business 7
applicable emission 7
renewable energy 7
alternative monitoring 7
simple cycle 7
effective date 7
total heat 7
natural gas 6
annual fuel 6
table a 6
egu allocations 6
single stack 6
dioxide emission 6
general account 6
affected source 6
applicable implementation 6
eighty percent 6
clean coal 6
regulatory authority 6
fourth year 6
atmospheric deposition 5
its baseline 5
prior year 5
allowable emission 5
fossil fuel 5
such allowance 5
respective promulgation 5
covered year 5
secondary fuel 5
fifteen percent 5
other fuel 5
human health 5
environmental monitoring 5
volumetric flow 5
specified amount 4
clifty creek 4
coal-fired utility 4
new utility 4
rain program 4
total number 4
amountof sulfur 4
fine particulate 4
joppa steam 4
numerical factor 4
integrated gasification 4
kyger creek 4
recent auction 4
combined cycle 4
orderly functioning 4
current research 4
clearing price 4
political subdivision 4
continuous program 4
such control 4
8-hour ozone 4
annual tonnage 4
electric energy 4
annual average 3
new jersey 3
significant deterioration 3
qualifying phase 3
such election 3
alternative method 3
residual oil 3
marginal cost 3
such owner 3
west virginia 3
rhode island 3
approved permit 3
competitive bidding 3
continuous emission 3
such determination 3
average annualcombustion 3
same manner 3
such information 3
their primary 3
affected facility 3
new york 3
such auction 3
available control 3
federal register 3
such emission 3
its primary 3
annual total 3
total tonnage 3
solid waste 3
gas-fired utility 3
new unit 3
such plan 3
total baseline 3
separate monitoring 3
hazardous waste 3
specified year 3
such research 2
alternative emission 2
available peer 2
other unit 2
anelectric utility 2
virgin islands 2
same precision 2
simple cyclecombustion 2
reduced utilization 2
steam-electric capacity 2
nitrogen oxide 2
appropriate vendor 2
industrial customer 2
same year 2
public health 2
puerto rico 2
coal-fired unit 2
flush language 2
general provisions 2
nameplate fossil 2
same violation 2
totaladjusted baseline 2
dry bottom 2
applicable limitation 2
north carolina 2
other section 2
such violation 2
further allocation 2
title iv 2
sealed bid 2
multi-pollutant control 2
such program 2
appropriate peer 2
new research 2
unit's baseline 2
contiguous county 2
ofthe product 2
reliable compliance 2
equal amount 2
allowable sulfur 2
contractual obligation 2
other category 2
thermal energy 2
calendar year 2
common control 2
such application 2
final action 2
other source 2
cfr §73.31 2
allowance reserve 2
approved substitution 2
tonnage limitation 2
south carolina 2
one-half percent 2
nonair quality 2
gas-fired unit 2
electricityfor sale 2
eligible unit 2
cfr §51.121 2
its transformation 2
same person 2
third year 2
equitable title 2
transitional area 2
such utility 2
nonattainment area 2
off-road mobile 2
maximum extent 2
subsequent year 2
specified price 2
american samoa 2
public comment 2
human exposure 2
projected impact 2
reasonable time 2
other paragraph 2
environmental accountability 2
provision.- nothing 2
orresidual oil 1
international trading 1
last clause 1
its permit 1
different distribution 1
updated information 1
such authorization 1
cfr §§76.6 1
secondary ambient 1
recovery act 1
adjusted baseline 1
gas-fired combustion 1
table b 1
coastal eutrophication 1
good combustion 1
such reduction 1
such baseline 1
annual amount 1
significant peer 1
jersey b.l 1
cems undersubparagraph 1
episodic exposure 1
december 31,1995.- 1
competitive bidsolicitation 1
electric power 1
act.- nothing 1
simple combustion 1
multiple combustion 1
other biota 1
qualified energyconservation 1
state authority.- 1
technological system 1
ninety percent 1
coal-fired combustion 1
competitive functioning 1
industrial source 1
specified number 1
new hampshire 1
applicable period 1
non-utility unit 1
leasehold agreement 1
entire period 1
source categories.- 1
low cost 1
applicable enforcement 1
implementation plan 1
antitrust laws.- 1
contractual reservation 1
new subsection 1
transitional areas.- 1
full implementation 1
appropriate baseline 1
separate violation 1
enforceable permit 1
permit program 1
specified tonnage 1
uncontrolled manner 1
sequential use 1
thomas hill 1
indoor air 1
continuous system 1
early termination 1
same area 1
capture ofmercury 1
such term 1
eastern standard 1
annual sulfurdioxide 1
other form 1
title iii 1
on-road mobile 1
effective measure 1
unitcombusting fuel 1
limited authorization 1
central dispatch 1
supplemental air 1
fixedcapital cost 1
energy form 1
auction amounts.- 1
annual allowance 1
regenerative combustion 1
its phase 1
onsuch substitution 1
independent power 1
allowance system 1
federal emission 1
total system 1
