
 Bigram NP 
march comment 494
north carolina 107
march testimony 102
legal service 92
april testimony 91
legal assistance 59
shelley latin 52
april comment 51
jose padilla 40
michael wyatt 36
legal aid 32
janice morgan 30
rob williams 30
cynthia rice 29
lisa butler 28
mid-new york 23
robert salzman 23
new york 23
charlotte sibley 23
legal representation 22
nan schivone 22
phyllis holmen 22
bill beardall 22
jack londen 19
legislative history 18
michael carlin 17
their employment 17
victor lara 16
javier rioja 15
nationality act 15
anita soucy 15
permanent resident 14
patrick mcintyre 14
l. no 12
meaningful representation 11
carolyn corrie 11
part ii 10
marci seville 10
u.s. department 10
private counsel 10
factual record 9
h-2a program 9
jim albright 9
catholic diocese 9
bruce iwasaki 8
lawyer committee 8
civil right 8
their home 8
legal action 8
federal register 8
lynn coyle 8
los angeles 8
mark talamantes 7
education fund 7
washington alliance 6
rep. no 6
west virginia 6
legal defense 6
melinda wiggins 6
refugee justice 6
attorney general 6
statutory language 6
student action 6
federal court 6
nieves negrete 6
doreen dodson 6
control act 6
specific contract 6
mr. casellas 6
part iii 6
sylvia argueta 5
professional responsibility 5
juris doctor 5
their immigration 5
other employment 5
minimum wage 5
private bar 5
their right 5
low income 5
gao report 5
adverse effect 5
immigration reform 5
future employment 5
alien representation 4
professor cleveland 4
legal question 4
mr. erlenborn 4
permanent residence 4
presence requirement 4
important context 4
immigration law 4
statutory scheme 4
agricultural labor 4
eligible alien 4
their employer 4
lsc-funded representation 4
garry geffert 4
administrative level 4
mark miller 4
general counsel 4
new mexico 4
final paycheck 4
professor rogers 3
legal authority 3
dol report 3
erlenborn commission 3
first time 3
public law 3
mark schacht 3
daily ed 3
house report 3
elizabeth freeman 3
alan houseman 3
unmarried child 3
conditional entry 3
other hand 3
professor aleinikoff 3
emma torres 3
social policy 3
appropriation act 3
their contract 3
lsc act 3
their way 3
legal claim 3
foreign country 3
their residence 3
walt auvil 3
wrongful discharge 3
such representation 3
equal access 3
vast majority 3
state bar 3
their status 3
gabriel medel 3
lawful immigration 3
social security 3
specific employment 2
their community 2
general representation 2
final report 2
it context 2
public housing 2
ordinary meaning 2
alien h-2a 2
irca § 2
legislative crafting 2
it plain 2
n.c. justice 2
h-2a worker 2
current law 2
their job 2
daily basis 2
first half 2
fifty percent 2
long-standing practice 2
howard berman 2
only category 2
sole exception 2
pennsylvania school 2
agricultural employer 2
following representation 2
express statement 2
further inquiry 2
naturalization service 2
h-2a visa 2
political calamity 2
migrant stream 2
dawn burtt 2
their case 2
live testimony 2
alien client 2
administrative law 2
such section 2
his employer 2
previous season 2
domestic violence 2
hour division 2
their isolation 2
single interpretation 2
legal system 2
carnegie endowment 2
narrow range 2
h. conf 2
federal law 2
private attorney 2
central element 2
mary bauer 2
such language 2
legal counsel 2
careful consideration 2
statutory context 2
their lack 2
florida h-2a 2
alternative representation 2
[ t 2
federally-authorized travel 2
indigent defendant 2
standing committee 2
legal education 2
international migration 2
corporation board 2
constitutional law 2
clear purpose 2
formal motion 2
international peace 2
immediate context 2
cornell university 2
it regulation 2
h-2 program 2
lsc board 2
practical matter 2
other health 2
mary school 2
alien eligibility 1
brown university 1
crucial part 1
effective representation 1
legislative design 1
his service 1
fifty-seven percent 1
first street 1
legal assistance.12 1
farm bureau 1
significant family 1
migrant farmworkers 1
statutory restriction 1
seasonal agriculture 1
john levy 1
extreme dependency 1
del rey 1
loyala university 1
active recruitment 1
dupage county 1
temporary worker 1
congressional purpose 1
contractual relationship 1
low relative 1
indiana university 1
g. burden 1
her career 1
temporary trip 1
designated employer 1
unauthorized representation 1
vegetable harvesting 1
only interpretation 1
their farmworker 1
air force 1
legal a 1
successful resolution 1
alien eligible 1
sen. rudman 1
financial assistance 1
their work 1
fritz roka 1
personal contact 1
daily log 1
new interpretation 1
exhaustive study 1
large fee 1
geographic location 1
her claim 1
dangerous field 1
inexpensive housing 1
public citizen 1
district court 1
adverse impact 1
lawful status 1
their labor 1
small percentage 1
significant presence 1
common lack 1
particular interest 1
non-english speaking 1
alien farmworker 1
her apartment 1
high quality 1
dramatic increase 1
twenty percent 1
individual ability 1
large labor 1
her home 1
attorney advisor 1
full extent 1
fiscal year 1
their exemption 1
alternative meaning 1
subject matter 1
well-established rule 1
special a 1
skadden fellow 1
yale university 1
significant season 1
pro bono 1
contiguous territory 1
ofgeneral abode 1
mexican side 1
actual length 1
procedural abuse 1
appellate work 1
rural labor 1
