
 Bigram NP 
adverse effect 13
toxicant test 12
probit analysis 12
statistical analysis 11
toxicant concentration 10
rank test 7
t test 6
effluent toxicity 6
within-test variability 5
safe concentration 5
chronic toxicity 5
effluent test 5
tap water 4
sample collection 4
biological standpoint 4
minimum difference 4
range-finding test 4
graphical method 4
spearman-karber method 4
step-by-step example 4
continuous dose-response 4
mineral water 3
24-h period 3
alpha level 3
second set 3
first use 3
current control 3
additional guidance 3
composite sample 3
green alga 3
significant difference 3
effluent sample 3
perrier® water 3
experimental design 3
single grab 3
linear response 3
dissolved oxygen 3
receiving water 3
no-observed-effect concentration 3
normal distribution 2
equivalent system 2
quality assurance 2
dose-response relationship 2
standard deviation 2
volatile toxic 2
plastic carboy 2
recommended test 2
normal propagation 2
tabular value 2
toxicant testing 2
appendix m 2
appendix b 2
other test 2
particular concentration 2
acceptable dilution 2
measured ph 2
non-parametric method 2
final bacteria 2
multiple comparison 2
its validity 2
arc sine 2
overall error 2
particular shape 2
adjusted ph 2
upper bound 2
sufficient sample 2
dilution water 2
reconstituted water 2
full life-cycle 2
total hardness 2
deionized water 2
uncontaminated receiving 2
no-effect concentration 2
partial life-cycle 2
other point 2
bonferroni adjustment 2
regulatory authority 2
dunnett's procedure 2
valid test 2
hypothesis tests 2
definitive test 2
individual test 2
express mail 2
total ammonia 2
appendix d. 1
central tendency 1
minimum head 1
final dilution 1
qualitative comparison 1
frequent and/or 1
full characterization 1
dry weight 1
the statistician 1
unchlorinated effluent 1
single effluent 1
concentrated stock 1
test methods 1
further investigation 1
appendix c. 1
algal growth 1
ground water 1
four-cartridge deionizer 1
appropriate discharge 1
final cartridge 1
biological significance 1
appropriate response 1
associated reference 1
case-by-case basis 1
synthetic water 1
required survival 1
simultaneous acute 1
contract laboratory 1
organex-q® filter 1
0.45-µm pore 1
graphical form 1
substantial magnitude 1
lethal concentration 1
prescribed test 1
representative set 1
suitable control 1
statistical flow 1
point estimation 1
plant operations 1
calculated test 1
average control 1
their use 1
steel's test 1
second sample 1
specific test 1
water tests 1
algal slime 1
concentration-response concept 1
nonparametric test 1
such precision 1
appendix k 1
appendix j 1
appendix l 1
appendix a 1
appendix c 1
appendix d 1
appendix g 1
appendix f 1
sufficient ice 1
observed impact 1
sufficient sodium 1
valid concentration-response 1
test organism 1
unknown quality 1
their toxicity 1
chi-square statistic 1
multi-concentration test 1
required toxicity 1
first sample 1
off-site toxicity 1
overall relationship 1
successive effluent 1
infrequent basis 1
possible retesting 1
processed waste 1
sampling period 1
clear cut 1
on-site toxicity 1
standard dilution 1
concentration-response curve 1
low level 1
inhibition concentration 1
allowable sample 1
significant toxicity 1
sample receiving 1
millipore® qpak™2 1
effluent grab 1
significant reduction 1
alternative point 1
oxygen demand 1
important part 1
open test 1
60-µm plankton 1
all-data approach 1
suitable hardness 1
usepa regional 1
philip lewis 1
raw toxicity 1
classical concentration-response 1
potential problem 1
sealed system 1
alternative dilution 1
final treatment 1
maximum likelihood 1
other response 1
subsequent hypothesis 1
inherent variability 1
replicate test 1
nonparametric method 1
instantaneous toxicity 1
static test 1
intermediate concentration 1
required test 1
high precision 1
anomalous test 1
toxicity-free dilution 1
synthetic dilution 1
npdes program 1
typical range 1
lapsed time 1
rigorous randomization 1
effluent-receiving-water mixture 1
from mount 1
normal variate 1
suitable receiving 1
appropriate ph 1
daily grab 1
preliminary toxicity 1
following manner 1
magnetic stirrer 1
improved quality 1
unattended period 1
aerated water 1
strict threshold 1
large floating 1
particular analysis 1
millipore® milli-q® 1
good test 1
observable effect 1
manual specify 1
composite receiving 1
high ph 1
and/or teratogenicity 1
practical limit 1
other wastewater 1
large number 1
general applicability 1
effluent prior 1
appropriate transformation 1
other hand 1
same test 1
adequate time 1
effluent sampling 1
other variability 1
representative sample 1
inverse regression 1
appendix f. 1
last resort 1
ongoing laboratory 1
same number 1
appendix b-f 1
aquatic life 1
common practice 1
serious incapacitation 1
water samples 1
hard water 1
detailed discussion 1
descriptive statistic 1
36-h limit 1
single toxicant 1
sample randomization 1
thiosulfatedechlorinated water 1
new plastic 1
appropriate dilution 1
single reference 1
logarithmic series 1
prescribed range 1
and shipping 1
on-site time 1
microbial degradation 1
second test 1
separate wastewater 1
true threshold 1
undiluted effluent 1
mean response 1
and outliers 1
sublethal hypothesis 1
combined solution 1
test variability 1
new test 1
rwc = 1
unionized ammonia 1
test review 1
statistical test 1
specified frequency 1
non-contact cooling 1
mg selenium 1
overall quality 1
statistical independence 1
possible toxicity 1
its use 1
millipore® system 1
statistical method 1
additional sampling 1
general laboratory 1
expected range 1
maximum precision 1
recommended control 1
flow-through test 1
total alkalinity 1
synthetic freshwater 1
shipped sample 1
non-continuous dose-response 1
large deviation 1
critical assumption 1
static renewal 1
two-fold difference 1
permitted receiving 1
h elapse 1
teresa norberg-king 1
minimum number 1
observed response 1
sufficient information 1
sample handling 1
appendix e. 1
observed mortality 1
mathematical model 1
same sample 1
biological parameter 1
previous concentration 1
report preparation 1
statistical flowchart 1
recommended order 1
definitive toxicity 1
original number 1
onsite testing 1
associated test 1
reliable indication 1
statistical methods 1
tabulate qa 1
interpolation method 1
recent reference 1
data transformations 1
natural variability 1
municipal waste 1
tabular form 1
test organisms 1
preliminary step 1
error term 1
important factor 1
data analysis 1
different toxicity 1
substantial toxic 1
variability criteria 1
calculated value 1
same toxicant 1
normal dilution 1
the data 1
concentration-response relationship 1
different concentration-response 1
equivalent water 1
initial decision 1
relative difference 1
apparent toxicity 1
biological concept 1
appropriate test 1
sub-chronic toxicity 1
associated effluent 1
and/or sorption 1
alternative hypothesis 1
possible build-up 1
larval survival 1
minimum test 1
different time 1
threshold concentration 1
same terminology 1
further discussion 1
chi-square test 1
pervasive one 1
last grab 1
downward trend 1
appropriate procedure 1
short period 1
further hypothesis 1
summary table 1
control chart 1
separate flask 1
short-term chronic 1
alternative variability 1
static non-renewal 1
third sample 1
exact test 1
regular basis 1
extreme caution 1
second reason 1
powerful test 1

 Trigram NP 
linear interpolation method 6
trimmed spearman-karber method 4
total residual chlorine 3
minimum significant difference 3
other aquatic life 2
short-term chronic toxicity 2
point estimation techniques 2
diluted mineral water 2
the bonferroni adjustment 2
test acceptability criteria 2
chronic aquatic toxicity 2
synthetic dilution water 1
avoid excessive aeration 1
composite samples advantages 1
following general format 1
effluent toxicity tests 1
fullscale definitive test 1
non-quantal biological measurement 1
undiluted effluent test 1
[ inhibition concentration 1
recommended statistical analysis 1
several widely-spaced sample 1
alternate statistical method 1
mean daily discharge 1
observed adverse effect 1
abbreviated static acute 1
dilution water samples 1
defined statistical procedure 1
appropriate statistical analysis 1
recommended alpha levels 1
other toxicant concentration 1
synthetic reconstituted water 1
reference toxicant testing 1
replication and sensitivity 1
mg/l anhydrous sodium 1
npdes permit program 1
source of effluent 1
receiving water sampling 1
equivalent deionized water 1
conclusions and recommendations 1
large upward adjustment 1
specific flow chart 1
grab samples advantages 1
and dilution water 1
effluent sample types 1
choice of analysis 1
single chronic toxicity 1
24-h composite sampling 1
wilcoxon rank sum 1
effluent sampling recommendations 1
recommended minimum significance 1
significant toxic effect 1
appendix c. pmsd 1
no-observed- effect concentration 1
practical biological viewpoint 1
8-24 h. caution 1
dilution water holding 1
24-h composite sample 1
observable adverse affect 1
significant observed effect 1
usepa regional administrator 1

 Unigram NP 
test 192
water 88
toxicity 56
concentration 47
sample 44
control 40
use 38
dilution 30
point 29
hypothesis 28
% 28
pmsd 27
time 25
noec 24
method 19
collection 19
receiving 19
analysis 19
growth 19
usepa 18
reference 18
effluent 18
estimate 17
toxicant 17
reproduction 16
subsection 15
h 15
variability 15
procedure 15
do 14
testing 14
amount 13
data 13
laboratory 13
number 13
temperature 13
relationship 13
estimation 13
loec 13
sensitivity 12
discharge 12
adjustment 11
dunnett 11
section 11
bonferroni 11
ph 11
aeration 11
noecs 10
steel 10
objective 10
variance 10
effect 10
treatment 10
survival 10
percent 10
l 9
organisms 8
minimum 8
response 8
thiosulfate 8
quality 8
mortality 8
result 8
hardness 8
case 8
source 8
confidence 8
permit 7
lc50 7
series 7
container 7
assumption 7
dubia 7
chart 7
guidance 7
review 7
ceriodaphnia 7
range 7
renewal 7
npdes 7
program 6
example 6
date 6
lc 6
mean 6
ec 6
daphnid 6
grab 6
culture 6
outfall 6
precision 6
value 6
mg/l 6
randomization 6
flowchart 6
interval 6
downstream 5
solution 5
degree 5
figure 5
milli-q® 5
measure 5
filter 5
preparation 5
volume 5
acceptability 5
table 5
air 5
ic 5
ic50 5
death 5
chamber 5
equivalent 5
normality 5
ic25 5
deviation 5
concept 4
rate 4
type 4
validity 4
e.g. 4
provide 4
chemical 4
rwc 4
alkalinity 4
day 4
standard 4
g 4
multi-concentration 4
population 4
b 4
equipment 4
organism 4
threshold 4
factor 4
report 4
summary 4
computer 4
reviewer 4
conductivity 4
carbon 4
sampling 4
reduction 4
waste 4
epa 4
homogeneity 4
wet 4
loss 4
authority 4
shipping 4
bound 4
delivery 4
al 4
choice 3
condition 3
level 3
criterion 3
independence 3
fathead 3
filtration 3
understanding 3
study 3
deionizer 3
monotonicity 3
mg 3
extension 3
calculation 3
caution 3
pimephales 3
information 3
concentration-response 3
a 3
statistician 3
minnow 3
facility 3
name 3
space 3
reason 3
capricornutum 3
appropriateness 3
grade 3
system 3
loecs 3
selenastrum 3
performance 3
nothing 3
noec-loec 3
equilibrium 3
set 3
period 3
i.e. 3
piecewise 3
addition 3
replicate 3
location 3
physical 3
model 3
reagent 3
duration 3
function 3
msd 3
assessment 3
problem 3
flow 3
log 3
debris 2
zone 2
heterogeneity 2
kcl 2
cubitainers® 2
design 2
above 2
nahco3 2
exchange 2
change 2
compliance 2
millipore® 2
apha 2
process 2
cubitainer® 2
examination 2
spike 2
appendix 2
longitude 2
root 2
f. 2
discussion 2
pure 2
