
 Bigram NP 
toxicant test 28
deionized water 15
adverse effect 13
probit analysis 13
toxicant concentration 12
statistical analysis 12
natural seawater 10
receiving water 10
forty fathoms® 10
chronic toxicity 9
test organism 8
effluent toxicity 8
quality assurance 7
standard deviation 7
toxicant testing 7
rank test 7
hw marinemix® 7
hypersaline brine 7
effluent test 6
tap water 6
recommended test 5
safe concentration 5
red macroalga 5
within-test variability 5
it use 5
sample collection 5
t test 5
dilution water 5
effluent sample 5
synthetic seawater 5
artificial seawater 5
arc sine 4
good quality 4
biological standpoint 4
same test 4
artificial sea 4
minimum difference 4
expected range 4
range-finding test 4
spearman-karber method 4
na nana 4
graphical method 4
regulatory authority 4
data analysis 4
step-by-step example 4
individual test 4
continuous dose-response 4
equivalent system 3
other point 3
composite sample 3
same reference 3
their use 3
specific toxicity 3
commercial sea 3
24-h period 3
alpha level 3
standard dilution 3
non-parametric method 3
second set 3
additional reference 3
total metal 3
nutritional suitability 3
ongoing laboratory 3
definitive test 3
additional guidance 3
toxicant sample 3
high quality 3
statistical method 3
significant difference 3
first use 3
experimental design 3
dry weight 3
current control 3
recent data 3
other test 3
dissolved oxygen 3
larval survival 3
interlaboratory precision 3
central tendency 2
normal distribution 2
dose-response relationship 2
high tide 2
volatile toxic 2
sample preparation 2
appendix l 2
normal propagation 2
ic25 growth 2
appendix b 2
sd cv 2
same salinity 2
valid test 2
usepa method 2
hypothesis test 2
particular concentration 2
acceptable dilution 2
support document 2
their source 2
final bacteria 2
same source 2
upper bound 2
required test 2
it validity 2
ic50 growth 2
npdes program 2
minimum acceptability 2
multiple comparison 2
individual toxicity 2
sample chain-of-custody 2
other hand 2
desired test 2
no-effect concentration 2
larval fish 2
tabular value 2
detailed discussion 2
same data 2
overall error 2
particular shape 2
pet supply 2
adjusted ph 2
sufficient sample 2
maximum precision 2
taxonomic expert 2
activated carbon 2
full life-cycle 2
static renewal 2
millipore® qpak™2 2
single-laboratory precision 2
sample handling 2
ethanol solution 2
uncontaminated water 2
laboratory evaluation 2
partial life-cycle 2
individual effluent 2
control chart 2
single grab 2
excessive mortality 2
total organochlorine 2
important factor 2
dry ocean 2
dunnett's procedure 2
same month 2
express mail 2
new group 2
short-term chronic 2
no-observed-effect concentration 2
total ammonia 2
appendix d. 1
fresh dilute 1
minimum head 1
qualitative comparison 1
frequent and/or 1
same life 1
concentration-response concept 1
decreased test 1
linear response 1
laboratory standard 1
different dilution 1
unchlorinated effluent 1
empirical confidence 1
specified test 1
further investigation 1
orginal number 1
appendix c. 1
high surface 1
noec fecundity 1
concurrent toxicity 1
ground water 1
four-cartridge deionizer 1
acceptable test 1
appropriate discharge 1
fume hood 1
effluent prior 1
appropriate response 1
associated reference 1
consumable material 1
case-by-case basis 1
instantaneous toxicity 1
modified gp2 1
variability criterion 1
plant operation 1
contract laboratory 1
plastic carboy 1
professional judgment 1
cadmium chloride 1
marine effluent 1
possible build 1
large-mouth screw-cap 1
report preparation 1
substantial magnitude 1
lethal concentration 1
other pipettor 1
sample storage 1
prescribed test 1
arbacia punctulata 1
potassium chloride 1
synthetic saline 1
appendix h. 1
physical damage 1
low mortality 1
suitable control 1
neoprene rubber 1
technical staff 1
point estimation 1
similar material 1
calculated test 1
fixed number 1
adequate do 1
expected test 1
successive effluent 1
weigh reagent 1
specific test 1
prescribed range 1
mysid test 1
ongoing commitment 1
algal slime 1
full characterization 1
acceptable laboratory 1
nonparametric test 1
such precision 1
strong appeal 1
appendix h 1
appendix k 1
appendix j 1
analytical method 1
simultaneous acute 1
single reference 1
appendix a 1
water sample 1
appendix c 1
possible loss 1
test method 1
appendix d 1
appendix f 1
sufficient ice 1
observed impact 1
operator error 1
valid concentration-response 1
unknown quality 1
their toxicity 1
chi-square statistic 1
replicate test 1
required toxicity 1
second time 1
overall relationship 1
artificial food 1
menidia survival 1
infrequent basis 1
routine reference 1
possible retesting 1
successive test 1
processed waste 1
same strain 1
mean population 1
sampling period 1
same number 1
on-site toxicity 1
toxic control 1
concentration-response curve 1
single effluent 1
low level 1
inhibition concentration 1
direct contact 1
successive toxicity 1
significant toxicity 1
permanent log 1
alternative source 1
relevant test 1
their salinity 1
flow-through rate 1
appendix h-k 1
mysidopsis survival 1
effluent grab 1
significant reduction 1
alternative point 1
data transformation 1
and supply 1
cooperative research 1
general requirement 1
fish mortality 1
laboratory management 1
horizontal axis 1
special care 1
grade water 1
taxonomic reference 1
open test 1
same age 1
error term 1
the data 1
plastic test 1
their history 1
food quality 1
usepa regional 1
relative uncertainty 1
raw toxicity 1
urchin test 1
aquatic life 1
potential problem 1
all-data approach 1
sealed system 1
appropriate state 1
alternative dilution 1
mean mysid 1
concentration-response relationship 1
undergravel filter 1
additional precision 1
other response 1
and outlier 1
subsequent hypothesis 1
inherent variability 1
multi-concentration test 1
final effluent 1
flake food 1
cumulative trend 1
aquatic toxicity 1
first sample 1
static test 1
intermediate concentration 1
cumulative mean 1
regulatory agency 1
same type 1
remote test 1
high precision 1
side-by-side toxicity 1
representative set 1
it suitability 1
appropriate manner 1
typical range 1
lapsed time 1
rigorous randomization 1
statistical flow 1
effluent-receiving-water mixture 1
normal variate 1
their identification 1
