
 Bigram NP 
energy plan 8
public health 6
human health 5
acid rain 4
new source 4
global climate 4
fine particle 4
national academy 3
ground-level ozone 3
president bush 3
hazardous air 3
available control 2
human activity 2
our nation 2
electric utility 2
electric power 2
particulate matter 2
acid deposition 2
episodic acidification 2
man-made greenhouse 2
full implementation 2
southern california 2
regional haze 2
new legislation 2
interstate transport 2
nox sip 1
power generation 1
lengthy permit 1
reduced growth 1
coastal water 1
particular significance 1
acidic deposition 1
it energy 1
nitrate deposition 1
their summertime 1
reduced productivity 1
possible solution 1
acute respiratory 1
particular source 1
gulf coast 1
joint research 1
great progress 1
administrative burden 1
chronic and/or 1
v. conclusion 1
minimum amount 1
25-50 % 1
new pollution 1
national ambient 1
successful tool 1
new air 1
current forty 1
various reduction 1
up-to-date information 1
their mother 1
wide spectrum 1
environmental benefit 1
state-of-the-art air 1
small staff 1
new information 1
infrared radiation 1
certain quantity 1
wet form 1
wonderful model 1
many freshwater 1
state implementation 1
full accounting 1
their location 1
low-level methylmercury 1
regulatory determination 1
global response 1
mandated goal 1
reduced drinking 1
pm naaqs 1
recent report 1
nationwide cap 1
significant deterioration 1
second guessing 1
criteria document 1
key contributor 1
sulfur deposition 1
it source 1
separate action 1
fine particulate 1
other wildlife 1
commercial forest 1
aggravated asthma 1
only way 1
clean coal 1
environmental improvement 1
emission banking 1
our country 1
our understanding 1
their state 1
new particulate 1
important factor 1
reliable energy 1
their willingness 1
significant portion 1
problem-by-problem approach 1
comprehensive science 1
nitrogen deposition 1
significant expansion 1
sensitive time 1
atmospheric deposition 1
ozone nonattainment 1
clean air 1
key factor 1
20-40 % 1
low cost 1
same interstate 1
scientific research 1
new england 1
atmospheric nitrogen 1
nitrogen oxide 1
environmental effect 1
western hemisphere 1
mental retardation 1
organic matter 1
same level 1
primary source 1
total emission 1
dry form 1
adverse health 1
needed emission 1
high humidity 1
consistent change 1
cerebral palsy 1
essential nutrient 1
modern pollution 1
public review 1
efficient way 1
cardiovascular illness 1
next level 1
east coast 1
c mercury 1
avoided premature 1
resounding success 1
available retrofit 1
broad array 1
ongoing cabinet-level 1
continuous monitoring 1
atmospheric chemical 1
sharp contrast 1
new nitrogen 1
complex web 1
national air 1
individual program 1
fish reproduce 1
built-in market 1
extensive peer 1
other conclusion 1
coming century 1
large part 1
ozone attainment 1
increased nitrogen 1
stationary gas 1
brown cloud 1
low risk 1
ongoing review 1
annualized cost 1
new litigation 1
nitrogenous greenhouse 1
heavy duty 1
downward trend 1
responsible way 1
advanced energy 1
human exposure 1
clean energy 1
many air 1
significant health 1
long-term issue 1
legislative approach 1
oil-fired utility 1
reasonable time 1
environmental protection 1
integrated approach 1
proposed legislation 1
significant source 1
new car 1
natural greenhouse 1
significant contribution 1
predatory fish 1
same time 1
substantial fraction 1
allowance program 1
air quality 1
continued exposure 1
american public 1
fish consumption 1
lost work 1
regulatory certainty 1
general area 1
it boiler 1
substantial body 1
light extinction 1
responsible manner 1
unified approach 1
industrial revolution 1
c ozone 1
annual amount 1
unprecedented flexibility 1
workable solution 1
environmental monitoring 1
comprehensive policy 1
further regulation 1
new york 1
achievable emission 1
large share 1
it availability 1
chronic bronchitis 1
their concern 1
el salvador 1
man-made mercury 1
their health 1
atmosphere react 1
scientific literature 1
cost-effective experience 1
pm2.5 naaqs 1
complex challenge 1
reasonable progress 1

 Trigram NP 
acid rain program 7
clean air act 5
significant public health 2
climate research initiative 1
power generation power 1
iv climate change 1
ozone transport region 1
health-based 1-hour ozone 1
technology-based numerical performance 1
nox sip call 1
national energy policy 1
president's energy plan 1
innovative market-based allowance 1
our scientific understanding 1
other available information 1
state implementation plan 1
it own purpose 1
it seventh year 1
national energy plan 1
total light extinction 1
new 8-hour ozone 1
federal nox budget 1
it own approach 1
provide public health 1
fine particle pollution 1
significant environmental improvement 1
president george h.w 1
great smoky mountain 1

 Unigram NP 
nox 42
so2 35
power 25
mercury 24
program 18
air 17
epa 17
president 16
generation 14
pollution 14
ozone 12
change 9
energy 8
trading 8
visibility 8
nitrogen 7
industry 7
control 7
% 7
percent 7
result 6
year 6
health 6
water 6
climate 6
quality 6
technology 6
rule 6
sector 5
environment 5
deposition 5
country 5
example 5
number 5
pm2.5 5
addition 5
legislation 5
reduction 5
plant 5
congress 5
recovery 5
atmosphere 4
greenhouse 4
sulfur 4
risk 4
emergency 4
report 4
compliance 4
gas 4
emission 4
room 4
matter 4
mortality 4
impairment 4
development 4
united 4
administration 3
earth 3
methylmercury 3
respiratory 3
aggravation 3
cost 3
today 3
increase 3
state 3
eutrophication 3
approach 3
u.s. 3
standard 3
