
 Bigram NP 
fips pub 21
contracting officer 12
information technology 10
open competition 9
procurement authority 7
overview guide 7
audit steps 7
senior management 6
far part 6
fips publication 5
timely manner 5
source selection 5
wide range 5
• acquisition 4
key project 4
computer programs 4
user involvement 4
technical representative 4
system acquisitions 4
audit objective 3
operational use 3
needs determination 3
lifecycle validation 3
phase ii 3
computer software 3
fips publications 3
related audit 3
overall strategy 3
new system 3
phase iii 3
user support 3
initiation phase 3
planned acquisition 3
requirements analysis 3
technical risk 2
sufficient authority 2
sensitive information 2
reasonable cost 2
system acquisition 2
sole source 2
project management 2
relative importance 2
clear definition 2
federal information 2
other performance 2
its design 2
priority levels 2
total number 2
significant software 2
other agency 2
current system 2
its acquisition 2
firm price 2
federal government 2
technical representatives 2
rapid prototyping 2
appendix iii 2
audit guide 2
related step 2
computer applications 2
acceptable performance 2
technical verification 2
related question 2
software maintenance 2
other project 2
firmr part 2
professional judgment 2
• test 2
economic analysis 2
competitive range 2
• solicitation 2
formal change 2
appropriate mix 2
projected work 2
other publication 2
related information 2
senior project 2
its mission 2
project staff 2
considerable information 1
ofrequired acquisition 1
improved service 1
estimated system 1
its resolution 1
technical leveling 1
second phase 1
information resources 1
k. accountability 1
new information 1
unauthorized use 1
security considerations 1
satisfying agency 1
corrective action 1
general assessment 1
language sql 1
senior program 1
database management 1
organizational image 1
full-scale system 1
national bureau 1
configuration management 1
program manager 1
its relationship 1
prototyping methodology 1
logical framework 1
software size 1
guide glossary 1
leveling helping 1
their configuration 1
adverse impact 1
primary responsibility 1
financial management 1
standard format 1
primary function 1
successful bid 1
electronic engineers 1
foreign business 1
appropriate acquisition 1
surplus property 1
defined environment 1
management guide 1
key information 1
budgetary process 1
fixed-price contract 1
benchmark test 1
intermodule communication 1
software prototyping 1
other information 1
different system 1
formal establishment 1
approved acquisition 1
documentation required 1
logic flow 1
data processing 1
• agency 1
single address 1
acquiring maintenance 1
brief description 1
information processing 1
system interface 1
overall vision 1
establish responsibility 1
review technique 1
acquisition schedule 1
500-133-technology assessment 1
purchase descriptions 1
theprogram manager 1
preliminary version 1
acquired equipment 1
contract actions 1
other testing 1
full operation 1
corporate capability 1
unauthorized access 1
90-day test 1
low turnover 1
other government 1
different environment 1
formal process 1
further consideration 1
follow-on implementation 1
benchmarking adp 1
above audit 1
figure ii.3 1
figure ii.2 1
figure ii.1 1
overall architecture 1
figure ii.5 1
define information 1
contracting officers 1
formal training 1
valid user 1
internal control 1
unnecessary cost 1
high turnover 1
user feedback 1
h. privacy 1
agency's generaldelegation 1
draft rfps 1
accurate description 1
continual basis 1
specific audit 1
special contract 1
500-193-software reengineering 1
damages page 1
national dictionary 1
