
 Bigram NP 
acid rain 8
public health 7
electric power 5
current law 4
long range 3
new source 3
national energy 3
human health 3
governor whitman 3
fine particle 3
natural gas 2
developing world 2
our energy 2
our nation 2
outdated power 2
environmental progress 2
regional haze 2
her testimony 2
our analysis 2
environmental protection 2
same time 2
multi-pollutant bill 2
cabinet-level policy 2
clean coal 2
specific source 1
significant equity 1
our nation's 1
much electricity 1
our economy 1
valuable basis 1
first program 1
wide range 1
acute respiratory 1
individual state 1
administrative burden 1
clear legislation 1
senator smith 1
your acknowledgment 1
cost-effective plant 1
serious issue 1
complex web 1
cost-effective way 1
dangerous interference 1
lung inflammation 1
30-50 % 1
little government 1
significant reduction 1
ultimate cap 1
current body 1
20-30 % 1
our work 1
new program 1
good portion 1
powerful tool 1
critical component 1
their transformation 1
full accounting 1
key air 1
important issue 1
future electricity 1
stranded capital 1
national cap 1
coal-fired power 1
monetary value 1
innovative thinking 1
critical role 1
new approach 1
excellent model 1
full knowledge 1
aggravated asthma 1
considerable fuel 1
federal government 1
new technology 1
serious health 1
my testimony 1
substantial progress 1
principal energy 1
reasonable electricity 1
major source 1
global introduction 1
other nation 1
mobile source 1
scientific knowledge 1
ground-level ozone 1
predictable demand 1
our proposal 1
future use 1
rocky road 1
it emission 1
sulfur removal 1
low sulfur 1
high cost 1
same level 1
geographic shifting 1
hazardous air 1
full implementation 1
our experience 1
technological innovation 1
international significance 1
bust cycle 1
key consideration 1
administrator whitman 1
significant number 1
necessary emission 1
unlikely occurrence 1
source-specific control 1
significant percentage 1
optimal approach 1
real answer 1
eastern part 1
columbia circuit 1
hard cap 1
long way 1
sharp contrast 1
fossil fuel 1
expensive compliance 1
up-front knowledge 1
environmental goal 1
straightforward manner 1
other respiratory 1
useful information 1
great tradition 1
integrated package 1
senator jeffords 1
cost-effective compliance 1
initial cost 1
significant cost 1
important program 1
our approach 1
advanced energy 1
small staff 1
same approach 1
it enactment 1
efficiency/energy intensity 1
significant health 1
undermine energy 1
long term 1
continuous monitoring 1
available compliance 1
dramatic shift 1
abbreviated time 1
local transportation 1
hot spot 1
our assessment 1
environmental quality 1
significant decline 1
overall level 1
protracted litigation 1
collective emission 1
nitrogen deposition 1
further regulation 1
individual program 1
new legislation 1
sequential manner 1
federal level 1
mercury-contaminated fish 1
coal-fired electricity 1
chronic bronchitis 1
significant progress 1
uncoordinated series 1
heavy duty 1
detailed discussion 1
premature mortality 1
tier ii 1
congressional resolution 1
direct threat 1
diverse mix 1
market-based approach 1

 Trigram NP 
clean air act 12
nox sip call 5
acid rain program 5
national energy plan 2
our clean air 1
their 1-hour ozone 1
future regulatory regime 1
fuels economic activity 1
it own timeline 1
effective market-based approach 1
other hazardous air 1
regional air partnership 1
comprehensive legislative approach 1
innovative market-based allowance 1
well-designed national cap 1
gross domestic product 1
serious public health 1
it own approach 1
comprehensive legislative package 1
it own purpose 1
new source review 1
cost effective manner 1
their regulatory future 1
current regulatory approach 1
our environmental goal 1

 Unigram NP 
power 26
so2 25
nox 23
s. 22
mercury 20
program 19
industry 17
cap 17
epa 16
trade 15
energy 15
% 13
generation 12
co2 11
approach 11
cost 10
state 10
reduction 10
administration 10
bill 9
