
 Bigram NP 
good case 30
new york 30
case study 23
critical instance 11
san francisco 11
science quarterly 11
beverly hill 10
cumulative case 10
participant observation 7
illustrative case 6
educational research 6
program evaluation 6
content analysis 6
comprehensive understanding 6
ray c. 5
special interest 5
complex instance 5
single case 5
educational evaluation 4
it context 4
other information 4
education quarterly 4
purposive selection 4
not-good case 4
exploratory case 4
human organization 4
data analysis 4
small number 4
qualitative data 4
extensive description 4
single instance 4
detailed information 3
adequate information 3
policy research 3
their appropriateness 3
in-depth information 3
different evaluation 3
communication manual 3
single site 3
norman k. 3
grounded theory 3
home start 3
secondary analysis 3
multisite case 3
particular concern 3
block grantactivity 3
economic policy 3
san diego 3
evaluation review 3
evaluation research 3
complex question 3
louis m. 3
ethnographic research 3
international security 3
robert k. 3
naturalistic inquiry 3
rand mcnally 3
college park 3
great deal 3
robert e. 3
william h. 3
new jersey 3
behavioral scientist 3
los angeles 3
unique interest 3
qualitative research 2
final report 2
federal program 2
evaluation quarterly 2
cooperative science 2
critical test 2
thomas d. 2
chesapeake bay 2
specific question 2
edwin a. 2
appropriate instance 2
particular interest 2
etienne s. 2
5-year period 2
considerable diversity 2
are u.s. 2
plausible explanation 2
comparative method 2
evaluation synthesis 2
santa monica 2
chicago press 2
their meaning 2
good research 2
our work 2
booby trap 2
evaluation design 2
complex case 2
data reduction 2
american journal 2
david cohen 2
matthew b 2
donald t. 2
key element 2
vocational education 2
considerable uncertainty 2
empirical basis 2
north carolina 2
appendix iii 2
mitre corp. 2
our report 2
data collection 2
qualitative information 2
science education 2
first evaluator 2
criminal program 2
large number 2
social research 2
same time 2
second tier 2
appropriate method 2
qualitative method 2
frequent application 2
program implementation 2
first phase 2
natural setting 2
strong inference 2
characteristic evaluation 2
scientific research 2
national survey 2
common pitfall 2
third phase 2
brazilian market 2
industrial innovation 2
world bank 2
in-depth case 2
comparative research 2
medical malpractice 2
it function 2
other case 2
strong chain 2
their implementation 2
direct observation 2
head start 2
other evaluation 2
study question 2
authentic information 2
representative sample 2
manageable number 2
data synthesis 2
other method 2
relevant science 2
national study 2
hypothetical data 2
on-site observation 2
van maanen 2
public interest 2
john wiley 2
single number 2
egon g. 2
federal manager 2
second round 2
their sequence 2
aesthetic education 2
limited number 2
service-oriented group 1
technical how-tos 1
narrative mode 1
science teaching 1
our location 1
holland pub 1
anecdotal information 1
retrospective cumulation 1
it integrity 1
brookings institution 1
rental assistance 1
initial information 1
long time 1
their design 1
on-site investigation 1
local unemployment 1
next element 1
barney g. 1
balanced view 1
mandating collaboration 1
valid meaning 1
low-risk supplement 1
new information 1
relevant legislation 1
it strength 1
same condition 1
individual team 1
overall report 1
matrix fashion 1
residential care 1
closed set 1
corporate tax 1
much concern 1
comprehensive analysis 1
robert m. 1
patricia l. 1
institutional innovation 1
main report 1
sound basis 1
effective way 1
disputed authorship 1
complex innovation 1
specific problem 1
pergamon press 1
reviewing research 1
such housing 1
appropriate scope 1
incomplete use 1
development test 1
s. e. 1
data storage 1
effective evaluation 1
bigeye bomb 1
morris j 1
specific environment 1
lucien morissens 1
similar assurance 1
academic research 1
american association 1
four jurisdiction 1
in- depth 1
their work 1
first type 1
high technology 1
extant data 1
particular job 1
martha a 1
nonexperimental research 1
federal detention 1
public housing 1
their impartiality 1
school review 1
personal experience 1
adequate accuracy 1
curriculum evaluation 1
questionable merit 1
richard goldstein 1
michael j 1
their life 1
constrained experience 1
