
 Bigram NP 
base estimate 35
chronic bronchitis 33
premature mortality 30
alternative estimate 22
u.s. epa 17
real income 15
base case 14
statistical life 13
c-r function 12
adverse health 12
u epa 12
recreational visibility 11
our analysis 10
air pollution 10
economic valuation 9
daily mortality 9
residential visibility 9
human health 9
long-term exposure 9
particulate matter 9
avoided premature 9
fine particle 8
percent discount 8
american journal 7
environmental quality 7
scientific literature 7
avoided health 6
adjustment factor 6
public health 6
economic analysis 6
concentration-response function 6
distributed lag 5
prospective study 5
short-term exposure 5
prospective cohort 4
advisory council 4
single day 4
policy analysis 4
contingent valuation 4
analytical approach 4
double counting 4
u department 4
central tendency 3
great deal 3
prospective analysis 3
d.w. dockery 3
increased mortality 3
tier ii 3
daily death 3
base year 3
short-term mortality 3
title iv 3
reasonable specification 3
large number 3
baseline incidence 3
follow-up period 3
pollutant concentration 3
initial assessment 3
jim democker 3
improved exposure 3
new york 3
spatial correlation 3
present value 3
pollution-related case 3
severe case 3
affected population 3
guideline value 2
cambridge ma 2
respiratory symptom 2
national morbidity 2
myocardial infarction 2
electric power 2
statistical uncertainty 2
endpoint pollutant 2
human service 2
downward bias 2
national median 2
assumed threshold 2
old individual 2
single-lag model 2
r.j. burchette 2
sky act 2
unit value 2
c.v. mathai 2
full impact 2
appropriate adjustment 2
harvard six 2
non-copd related 2
substantial body 2
ton/yr cap 2
cardiovascular disease 2
chronic health 2
icf consulting 2
fatal risk 2
united kingdom 2
individual health 2
fine particulate 2
other wildlife 2
single function 2
human perception 2
recreational fishing 2
improved visibility 2
mobile source 2
k. ito 2
considerable uncertainty 2
remsad version 2
absolute level 2
alternative valuation 2
west longitude 2
c. mccowan 2
household income 2
capita income 2
scientific community 2
medical care 2
part ii 2
appropriate way 2
federal class 2
benefit analysis 2
air quality 2
copd related 2
county-specific adjustment 2
detailed discussion 2
premature death 2
first step 2
annual mortality 2
original study 2
cleaner vehicle 2
mean estimate 2
atmospheric clarity 2
asthma attack 2
b. smith 2
zanobetti a 2
health perspective 2
present analysis 2
g.d. thurston 2
a. zanobetti 2
economic theory 2
total incidence 2
across-study variation 2
pollution-related mortality 2
chronic exposure 2
commercial timber 2
important assumption 2
ozone due 2
economic value 2
cardiovascular emergency 2
quantitative sensitivity 2
extreme adjustment 2
future year 2
forced expiratory 2
reasonable alternative 2
ambient air 2
economic literature 2
horizontal resolution 2
vast majority 2
pulmonary function 2
first section 2
relative risk 2
s. silverman 2
overall uncertainty 2
heavy-duty engine 2
recent evidence 2
national center 2
expected change 2
environmental economics 2
mean value 2
schwartz j 2
comparable estimate 2
our estimate 2
regional income 2
excess mortality 2
reduced risk 2
5-year lag 2
r.t. burnett 2
significant uncertainty 2
m.j. thun 2
total benefit 2
disease control 2
studnicka m 1
dose-response function 1
non-asthmatics ‡ 1
dry deposition 1
particular threshold 1
recreational areas.17 1
agricultural production 1
available evidence 1
relative sense 1
section iii 1
national program 1
meteorological data 1
quenel p 1
private responsibility 1
same set 1
statistical issue 1
pollution-induced mortality 1
particular region 1
toxic deposition 1
national park 1
mean concentration-response 1
biased approach 1
m. raizenne 1
federal program 1
primary research 1
increased cost-of-illness 1
non-copd premature 1
different age 1
monetary valuation 1
significant variability 1
light scattering 1
social rate 1
same pollutant/health 1
non-egu point 1
alternative benefit 1
primary estimate 1
m. thayer 1
average hospital 1
insufficient evidence 1
document no 1
pm-related mortality 1
incremental change 1
little effect 1
specific nature 1
ozone-related health 1
samet jm 1
s. zeger 1
f. lalonde 1
same criterion 1
much wider 1
future target 1
non-zero risk 1
5-month period 1
multiple pollutant 1
correct form 1
regulatory impact 1
environmental health 1
prolonged suffering 1
modest effect 1
commercial forest 1
average case 1
mobile highway 1
p. amar 1
severe morbidity 1
icf resource 1
curriero f 1
threshold sensitivity 1
hypothesized relationship 1
see abt 1
nitrogen deposition 1
system-specific realism 1
5-year loss 1
i. tombach 1
average length 1
commercial freshwater 1
up-to-date assessment 1
present age 1
important crop 1
variable meteorology 1
benefit economic 1
second row 1
analagous term 1
respiratory disease 1
s. judek 1
improve network 1
survival curve 1
efficient use 1
multi-pollutant legislation 1
same level 1
sample size 1
non-threshold effect 1
full implementation 1
gryparis a 1
wp src2 1
location-specific baseline 1
american review 1
recent literature 1
distributed fashion 1
his review 1
their income 1
extensive field 1
potential extrapolation 1
monetary compensation 1
principal diagnosis 1
expected increase 1
modeling inventory 1
separate issue 1
next section 1
current levels.1 1
j. vimont 1
visibility estimating 1
considerable variation 1
exposure analysis 1
statistical premature 1
preference calibration 1
g. norris 1
decreased ambient 1
r. wyzga 1
narrow population 1
f. repetto 1
same impact 1
certain crop 1
u bureau 1
human mortality 1
various sensitivity 1
current law 1
log-linear form 1
brief description 1
such measure 1
inner grid 1
national sox 1
appendix h 1
appendix j 1
same year 1
sulfuric acid 1
respiratory ailment 1
daily basis 1
conservative measure 1
5-month ozone 1
original air 1
annual incidence 1
large percentage 1
sab advisory 1
medical waste 1
population health 1
direct calculation 1
scientific basis 1
limited age 1
overall approach 1
particular age 1
ozonesensitive commodity 1
emissions-weighted approach 1
distributional analysis 1
measurement error 1
mandatory emission 1
specific adjustment 1
upward bias 1
monetary benefit 1
ton/year cap 1
additional compensation 1
latter type 1
term exposure 1
lipfert et 1
subsequent exposure 1
between quality 1
empirical basis 1
economics group 1
n. simon 1
vertical structure 1
benefit-cost analysis 1
j. huber 1
fatal heart 1
random chance 1
single study 1
forsberg b 1
current state 1
crop-by-crop basis.20 1
relative magnitude 1
d. schenk 1
adults age 1
pm pm2.5 1
smoking-related literature 1
harmful health 1
net consumer 1
particular health 1
effect modification 1
acidic deposition 1
qua lity 1
