Document,Phrase
trip_103.txt,10 cities Reviews
trip_104.txt,11 cities Reviews
trip_104.txt,11 reviews Reviews
trip_1.txt,15 year anniversary
trip_104.txt,18 cities Reviews
trip_101.txt,2 minute walk
trip_104.txt,2 story dwelling
trip_103.txt,20 traveler photos
trip_104.txt,26 cities Reviews
trip_107.txt,28 cities Reviews
trip_104.txt,35 reviews Reviews
trip_104.txt,37th wedding anniversary
trip_107.txt,3rd floor
trip_102.txt,40th wedding anniversary
trip_101.txt,42nd street station
trip_100.txt,49 reviews Reviews
trip_104.txt,55 reviews Reviews
trip_1.txt,6 reviews Reviews
trip_107.txt,66 reviews Reviews
trip_100.txt,7 cities Reviews
trip_100.txt,9th floor housekeeping
trip_103.txt,aaronds watertown
trip_107.txt,accommodating food sensitivities
trip_107.txt,Accomodating staff
trip_103.txt,accurate representation
trip_106.txt,affordable bed
trip_100.txt,altruistic task increases
trip_107.txt,amazing resource
trip_104.txt,anniversary wishes
trip_103.txt,annual trip
trip_106.txt,answered questions
trip_106.txt,antique furniture
trip_105.txt,antique touches
trip_107.txt,antiques-filled room
trip_104.txt,apparently due
trip_107.txt,area places
trip_107.txt,area restaurants
trip_105.txt,awesome king bed
trip_1.txt,bar business
trip_10.txt,BarbaraJ914 Roseville
trip_103.txt,beautiful property
trip_106.txt,bedrooms kids
trip_104.txt,beloved dog
trip_105.txt,BevPeter Belchertown
trip_102.txt,big room
trip_107.txt,big-name hotels
trip_1.txt,birthday dessert
trip_1.txt,birthday dinner
trip_1.txt,birthday plate
trip_1.txt,birthday surprise
trip_10.txt,bistro area
trip_10.txt,Bistro employees
trip_1.txt,book mark
trip_102.txt,booked massages
trip_103.txt,boutique hotel
trip_105.txt,Breakfast buffet
trip_101.txt,breakfast crowd
trip_101.txt,breakfast selection
trip_101.txt,buffet line
trip_103.txt,Business reviews
trip_101.txt,business travelers
trip_100.txt,busy schedules
trip_101.txt,busy tmes
trip_100.txt,canine guests
trip_1.txt,car service
trip_104.txt,ceiling windows
trip_103.txt,cheese omelettes
trip_107.txt,child water
trip_104.txt,chip cookie
trip_102.txt,chocolate chip
trip_105.txt,cinnamon rolls
trip_10.txt,clean cafe
trip_104.txt,clearly visible
trip_101.txt,closing time
trip_101.txt,coffee table
trip_106.txt,college fraternity house
trip_106.txt,comfortable feeling
trip_101.txt,comfy bed
trip_106.txt,comfy room
trip_107.txt,commercial accommodations
trip_103.txt,comprehensive breakfast selection
trip_101.txt,conference room
trip_103.txt,converted barn
trip_103.txt,country atmosphere
